Date/Time,leaf_number,leaf_position,current,power,voltage,,condition,current,power,voltage
Sat Nov 23 12:22:58 2019,zero,nan,1.19,15.78,13.23,,normal,1.15,15.81,13.66
Sat Nov 23 12:22:59 2019,zero,nan,1.19,15.78,13.23,,normal,1.17,16.07,13.66
Sat Nov 23 12:23:00 2019,zero,nan,1.19,15.78,13.24,,normal,1.16,15.94,13.66
Sat Nov 23 12:23:01 2019,zero,nan,1.21,16.03,13.22,,normal,1.09,14.91,13.66
Sat Nov 23 12:23:02 2019,zero,nan,1.2,15.91,13.23,,normal,0.92,12.59,13.65
Sat Nov 23 12:23:03 2019,zero,nan,1.21,16.04,13.25,,normal,1.17,16.07,13.66
Sat Nov 23 12:23:04 2019,zero,nan,1.22,16.17,13.22,,normal,1.18,16.2,13.68
Sat Nov 23 12:23:05 2019,zero,nan,1.22,16.14,13.23,,normal,1.17,16.07,13.68
Sat Nov 23 12:23:06 2019,zero,nan,1.21,16.03,13.24,,normal,1.17,16.08,13.65
Sat Nov 23 12:23:07 2019,zero,nan,1.21,16.03,13.22,,normal,1.18,16.2,13.67
Sat Nov 23 12:23:08 2019,zero,nan,1.22,16.15,13.23,,normal,1.2,16.46,13.67
Sat Nov 23 12:23:09 2019,zero,nan,1.22,16.17,13.25,,normal,1.17,16.07,13.67
Sat Nov 23 12:23:10 2019,zero,nan,1.22,16.28,13.25,,normal,1.19,16.33,13.67
Sat Nov 23 12:23:11 2019,zero,nan,1.21,16.15,13.25,,normal,1.2,16.46,13.67
Sat Nov 23 12:23:12 2019,zero,nan,1.23,16.42,13.25,,normal,1.19,16.33,13.68
Sat Nov 23 12:23:13 2019,zero,nan,1.23,16.29,13.24,,normal,1.21,16.6,13.67
Sat Nov 23 12:23:14 2019,zero,nan,1.22,16.29,13.27,,normal,1.2,16.47,13.67
Sat Nov 23 12:23:15 2019,zero,nan,1.22,16.15,13.24,,normal,1.21,16.58,13.68
Sat Nov 23 12:23:16 2019,zero,nan,1.23,16.29,13.23,,normal,1.2,16.47,13.67
Sat Nov 23 12:23:17 2019,zero,nan,1.22,16.28,13.24,,normal,1.2,16.47,13.67
Sat Nov 23 12:23:18 2019,zero,nan,1.22,16.17,13.23,,normal,1.17,16.08,13.68
Sat Nov 23 12:23:19 2019,zero,nan,1.22,16.17,13.24,,normal,1.18,16.21,13.67
Sat Nov 23 12:23:20 2019,zero,nan,1.22,16.17,13.23,,normal,1.18,16.21,13.71
Sat Nov 23 12:23:21 2019,zero,nan,1.22,16.17,13.24,,normal,1.17,16.08,13.66
Sat Nov 23 12:23:22 2019,zero,nan,1.2,16.03,13.27,,normal,1.16,15.95,13.67
