,Condition,Date/Time,current,power,voltage
90,normal,Thu Nov 21 14:13:17 2019,0.25,24.51,95.85
91,normal,Thu Nov 21 14:13:18 2019,0.25,24.25,95.92
92,normal,Thu Nov 21 14:13:19 2019,0.25,24.51,95.89
93,normal,Thu Nov 21 14:13:20 2019,0.26,25.42,96.12
94,normal,Thu Nov 21 14:13:21 2019,0.24,24.13,96.6
95,normal,Thu Nov 21 14:13:22 2019,0.24,24.0,96.6
96,normal,Thu Nov 21 14:13:23 2019,0.24,24.13,96.6
97,normal,Thu Nov 21 14:13:24 2019,0.25,24.25,96.6
98,normal,Thu Nov 21 14:13:25 2019,0.25,24.25,96.62
99,normal,Thu Nov 21 14:13:26 2019,0.25,25.03,96.72
100,normal,Thu Nov 21 14:13:27 2019,0.24,24.13,97.37
101,normal,Thu Nov 21 14:13:28 2019,0.24,24.0,97.37
102,normal,Thu Nov 21 14:13:29 2019,0.24,24.25,97.76
103,normal,Thu Nov 21 14:13:30 2019,0.24,24.13,97.73
104,normal,Thu Nov 21 14:13:31 2019,0.24,24.4,98.55
105,normal,Thu Nov 21 14:13:32 2019,0.24,24.27,98.54
106,normal,Thu Nov 21 14:13:33 2019,0.24,23.89,98.54
107,normal,Thu Nov 21 14:13:34 2019,0.24,24.27,98.58
108,normal,Thu Nov 21 14:13:35 2019,0.24,24.0,98.56
109,normal,Thu Nov 21 14:13:36 2019,0.24,24.53,98.64
110,normal,Thu Nov 21 14:13:37 2019,0.24,24.0,99.31
111,normal,Thu Nov 21 14:13:38 2019,0.23,23.49,99.21
112,normal,Thu Nov 21 14:13:39 2019,0.24,24.53,99.02
113,normal,Thu Nov 21 14:13:40 2019,0.25,24.27,96.66
114,normal,Thu Nov 21 14:13:41 2019,0.25,24.4,96.69
115,normal,Thu Nov 21 14:13:42 2019,0.25,24.4,96.7
116,normal,Thu Nov 21 14:13:43 2019,0.25,24.78,97.14
117,normal,Thu Nov 21 14:13:44 2019,0.26,25.67,97.27
118,normal,Thu Nov 21 14:13:45 2019,0.25,24.78,97.13
119,normal,Thu Nov 21 14:13:46 2019,0.25,24.65,97.13
120,open,Thu Nov 21 14:13:47 2019,0.0,0.0,3.45
121,open,Thu Nov 21 14:13:48 2019,0.0,0.0,3.45
122,open,Thu Nov 21 14:13:49 2019,0.0,0.0,3.43
123,open,Thu Nov 21 14:13:50 2019,0.0,0.0,3.43
124,open,Thu Nov 21 14:13:51 2019,0.0,0.0,3.39
125,open,Thu Nov 21 14:13:52 2019,0.0,0.0,3.4
126,open,Thu Nov 21 14:13:53 2019,0.0,0.0,3.38
127,open,Thu Nov 21 14:13:54 2019,0.0,0.0,3.41
128,open,Thu Nov 21 14:13:55 2019,0.0,0.0,3.4
129,open,Thu Nov 21 14:13:56 2019,0.0,0.0,3.37
130,open,Thu Nov 21 14:13:57 2019,0.0,0.0,3.36
131,open,Thu Nov 21 14:13:58 2019,0.0,0.0,3.36
132,open,Thu Nov 21 14:13:59 2019,0.0,0.0,3.36
133,open,Thu Nov 21 14:14:00 2019,0.0,0.0,3.32
134,open,Thu Nov 21 14:14:01 2019,0.0,0.0,3.31
135,open,Thu Nov 21 14:14:02 2019,0.0,0.0,3.29
136,open,Thu Nov 21 14:14:03 2019,0.0,0.0,3.27
137,open,Thu Nov 21 14:14:04 2019,0.0,0.0,3.28
138,open,Thu Nov 21 14:14:06 2019,0.0,0.0,3.25
139,open,Thu Nov 21 14:14:07 2019,0.0,0.0,3.26
140,open,Thu Nov 21 14:14:08 2019,0.0,0.0,3.28
141,open,Thu Nov 21 14:14:09 2019,0.0,0.0,3.24
142,open,Thu Nov 21 14:14:10 2019,0.0,0.0,3.22
143,open,Thu Nov 21 14:14:11 2019,0.0,0.0,3.21
144,open,Thu Nov 21 14:14:12 2019,0.0,0.0,3.19
145,open,Thu Nov 21 14:14:13 2019,0.0,0.0,3.16
146,open,Thu Nov 21 14:14:14 2019,0.0,0.0,3.17
147,open,Thu Nov 21 14:14:15 2019,0.0,0.0,3.15
148,open,Thu Nov 21 14:14:16 2019,0.0,0.0,3.15
149,open,Thu Nov 21 14:14:17 2019,0.0,0.0,3.14
150,open,Thu Nov 21 14:14:18 2019,0.0,0.0,3.13
151,open,Thu Nov 21 14:14:19 2019,0.0,0.0,3.1
152,open,Thu Nov 21 14:14:20 2019,0.0,0.0,3.08
153,open,Thu Nov 21 14:14:21 2019,0.0,0.0,3.07
154,open,Thu Nov 21 14:14:22 2019,0.0,0.0,3.04
155,open,Thu Nov 21 14:14:23 2019,0.0,0.0,3.04
156,open,Thu Nov 21 14:14:24 2019,0.0,0.0,3.0
157,open,Thu Nov 21 14:14:25 2019,0.0,0.0,2.96
158,open,Thu Nov 21 14:14:26 2019,0.0,0.0,2.98
159,open,Thu Nov 21 14:14:27 2019,0.0,0.0,2.93
160,open,Thu Nov 21 14:14:28 2019,0.0,0.0,2.91
161,open,Thu Nov 21 14:14:29 2019,0.0,0.0,2.89
162,open,Thu Nov 21 14:14:30 2019,0.0,0.0,2.85
163,open,Thu Nov 21 14:14:31 2019,0.0,0.0,2.84
164,open,Thu Nov 21 14:14:32 2019,0.0,0.0,2.8
165,open,Thu Nov 21 14:14:33 2019,0.0,0.0,2.76
166,open,Thu Nov 21 14:14:34 2019,0.0,0.0,2.76
167,open,Thu Nov 21 14:14:35 2019,0.0,0.0,2.72
168,open,Thu Nov 21 14:14:36 2019,0.0,0.0,2.7
169,open,Thu Nov 21 14:14:37 2019,0.0,0.0,2.65
170,open,Thu Nov 21 14:14:38 2019,0.0,0.0,2.62
171,open,Thu Nov 21 14:14:39 2019,0.0,0.0,2.57
172,open,Thu Nov 21 14:14:40 2019,0.0,0.0,2.49
173,open,Thu Nov 21 14:14:41 2019,0.0,0.0,2.46
174,open,Thu Nov 21 14:14:42 2019,0.0,0.0,2.39
175,open,Thu Nov 21 14:14:43 2019,0.0,0.0,2.32
176,open,Thu Nov 21 14:14:44 2019,0.0,0.0,2.25
177,open,Thu Nov 21 14:14:45 2019,0.0,0.0,2.2
178,open,Thu Nov 21 14:14:46 2019,0.0,0.0,2.14
179,open,Thu Nov 21 14:14:47 2019,0.0,0.0,2.07
180,normal,Thu Nov 21 14:14:48 2019,0.02,2.38,106.91
181,normal,Thu Nov 21 14:14:49 2019,0.04,4.63,106.56
182,normal,Thu Nov 21 14:14:50 2019,0.07,8.28,105.82
183,normal,Thu Nov 21 14:14:51 2019,0.19,20.08,102.4
184,normal,Thu Nov 21 14:14:52 2019,0.24,20.33,81.71
185,normal,Thu Nov 21 14:14:53 2019,0.27,18.29,67.64
186,normal,Thu Nov 21 14:14:54 2019,0.28,16.26,57.72
187,normal,Thu Nov 21 14:14:55 2019,0.28,14.49,50.35
188,normal,Thu Nov 21 14:14:56 2019,0.29,13.34,44.58
189,normal,Thu Nov 21 14:14:57 2019,0.3,12.32,39.98
190,normal,Thu Nov 21 14:14:58 2019,0.31,11.32,36.25
191,normal,Thu Nov 21 14:14:59 2019,0.32,10.81,33.17
192,normal,Thu Nov 21 14:15:00 2019,0.32,9.79,30.55
193,normal,Thu Nov 21 14:15:01 2019,0.33,9.54,28.35
