Date/Time,Condition,current,power,voltage,,Condition,current,power,voltage
Thu Nov 21 11:03:28 2019,partial_shading,0.29,28.29,97.43,,full_shading,0.20,2.73,13.5
Thu Nov 21 11:03:29 2019,partial_shading,0.28,28.04,97.03,,full_shading,0.20,2.73,13.51
Thu Nov 21 11:03:30 2019,partial_shading,0.29,28.41,97.01,,full_shading,0.20,2.73,13.52
Thu Nov 21 11:03:31 2019,partial_shading,0.28,28.04,97.87,,full_shading,0.21,2.85,13.51
Thu Nov 21 11:03:32 2019,partial_shading,0.28,28.06,97.85,,full_shading,0.19,2.6,13.52
Thu Nov 21 11:03:33 2019,partial_shading,0.28,28.17,97.85,,full_shading,0.19,2.6,13.49
Thu Nov 21 11:03:34 2019,partial_shading,0.28,28.29,97.87,,full_shading,0.20,2.73,13.51
Thu Nov 21 11:03:35 2019,partial_shading,0.29,28.54,97.5,,full_shading,0.20,2.73,13.51
Thu Nov 21 11:03:36 2019,partial_shading,0.29,28.69,97.52,,full_shading,0.20,2.73,13.51
Thu Nov 21 11:03:37 2019,partial_shading,0.29,28.44,97.49,,full_shading,0.20,2.73,13.53
Thu Nov 21 11:03:38 2019,partial_shading,0.29,28.29,97.07,,full_shading,0.21,2.85,13.52
Thu Nov 21 11:03:39 2019,partial_shading,0.29,28.81,97.96,,full_shading,0.20,2.73,13.52
Thu Nov 21 11:03:40 2019,partial_shading,0.3,30.42,98.19,,full_shading,0.20,2.73,13.5
Thu Nov 21 11:03:41 2019,partial_shading,0.28,28.19,98.73,,full_shading,0.20,2.73,13.52
Thu Nov 21 11:03:42 2019,partial_shading,0.28,28.31,98.71,,full_shading,0.20,2.73,13.54
Thu Nov 21 11:03:43 2019,partial_shading,0.28,28.31,99.13,,full_shading,0.20,2.73,13.52
Thu Nov 21 11:03:44 2019,partial_shading,0.28,28.44,99.15,,full_shading,0.20,2.73,13.52
Thu Nov 21 11:03:45 2019,partial_shading,0.28,27.55,97.38,,full_shading,0.21,2.85,13.51
Thu Nov 21 11:03:46 2019,partial_shading,0.27,26.8,97.2,,full_shading,0.20,2.73,13.52
Thu Nov 21 11:03:47 2019,partial_shading,0.28,27.3,97.29,,full_shading,0.20,2.73,13.52
Thu Nov 21 11:03:48 2019,partial_shading,0.26,27.07,100.72,,full_shading,0.20,2.73,13.55
Thu Nov 21 11:03:49 2019,partial_shading,0.26,27.05,100.22,,full_shading,0.19,2.6,13.52
Thu Nov 21 11:03:50 2019,partial_shading,0.26,26.68,100.64,,full_shading,0.20,2.73,13.51
Thu Nov 21 11:03:51 2019,partial_shading,0.26,26.43,100.56,,full_shading,0.20,2.73,13.52
Thu Nov 21 11:03:52 2019,partial_shading,0.23,24.05,103.75,,full_shading,0.20,2.73,13.51
Thu Nov 21 11:03:53 2019,partial_shading,0.24,24.94,103.05,,full_shading,0.19,2.6,13.52
Thu Nov 21 11:03:54 2019,partial_shading,0.24,24.67,102.53,,full_shading,0.20,2.73,13.52
Thu Nov 21 11:03:55 2019,partial_shading,0.23,24.42,102.48,,full_shading,0.20,2.73,13.51
Thu Nov 21 11:03:56 2019,partial_shading,0.23,24.18,103.31,,full_shading,0.21,2.85,13.52
Thu Nov 21 11:03:57 2019,partial_shading,0.23,24.03,103.27,,full_shading,0.20,2.73,13.52
Thu Nov 21 11:03:58 2019,partial_shading,0.23,23.93,102.37,,full_shading,0.20,2.73,13.53
Thu Nov 21 11:03:59 2019,partial_shading,0.21,22.4,102.42,,full_shading,0.19,2.6,13.5
Thu Nov 21 11:04:00 2019,partial_shading,0.23,23.68,102.72,,full_shading,0.20,2.73,13.5
Thu Nov 21 11:04:01 2019,partial_shading,0.22,23.41,102.68,,full_shading,0.21,2.85,13.52
Thu Nov 21 11:04:02 2019,partial_shading,0.22,23.41,103.14,,full_shading,0.20,2.73,13.52
Thu Nov 21 11:04:03 2019,partial_shading,0.22,23.54,102.69,,full_shading,0.19,2.6,13.51
Thu Nov 21 11:04:04 2019,partial_shading,0.23,23.78,102.32,,full_shading,0.19,2.6,13.51
Thu Nov 21 11:04:05 2019,partial_shading,0.24,24.55,102.06,,full_shading,0.20,2.73,13.52
