Date/Time,Condition,current,power,voltage,,Condition,current,power,voltage
Tue Nov 26 13:19:06 2019,dust,0.45,6.32,13.97,,normal,0.81,23.89,29.25
Tue Nov 26 13:19:07 2019,dust,0.53,7.46,13.94,,normal,0.8,23.51,29.25
Tue Nov 26 13:19:08 2019,dust,0.46,6.45,13.96,,normal,0.83,24.43,29.25
Tue Nov 26 13:19:09 2019,dust,0.49,6.96,13.97,,normal,0.83,24.43,29.26
Tue Nov 26 13:19:10 2019,dust,0.54,7.59,13.98,,normal,0.83,24.43,29.26
Tue Nov 26 13:19:11 2019,dust,0.47,6.58,13.96,,normal,0.82,24.04,29.3
Tue Nov 26 13:19:12 2019,dust,0.48,6.7,13.96,,normal,0.8,23.64,29.31
Tue Nov 26 13:19:13 2019,dust,0.51,7.21,13.97,,normal,0.82,24.17,29.29
Tue Nov 26 13:19:14 2019,dust,0.48,6.83,13.96,,normal,0.82,24.04,29.29
Tue Nov 26 13:19:15 2019,dust,0.46,6.45,13.97,,normal,0.81,23.77,29.25
Tue Nov 26 13:19:16 2019,dust,0.52,7.33,13.96,,normal,0.79,23.38,29.25
Tue Nov 26 13:19:17 2019,dust,0.48,6.83,13.96,,normal,0.8,23.64,29.24
Tue Nov 26 13:19:18 2019,dust,0.52,7.34,13.97,,normal,0.81,23.77,29.26
Tue Nov 26 13:19:19 2019,dust,0.46,6.45,13.96,,normal,0.82,24.02,29.29
Tue Nov 26 13:19:20 2019,dust,0.48,6.83,13.97,,normal,0.8,23.91,29.57
Tue Nov 26 13:19:21 2019,dust,0.46,6.45,13.96,,normal,0.78,23.23,29.52
Tue Nov 26 13:19:22 2019,dust,0.52,7.34,13.96,,normal,0.81,24.17,29.57
Tue Nov 26 13:19:23 2019,dust,0.47,6.57,13.94,,normal,0.81,24.04,29.58
Tue Nov 26 13:19:24 2019,dust,0.53,7.46,13.96,,normal,0.81,24.04,29.57
Tue Nov 26 13:19:25 2019,dust,0.47,6.57,13.96,,normal,0.79,23.49,29.63
Tue Nov 26 13:19:26 2019,dust,0.51,7.21,13.91,,normal,0.8,23.77,29.7
Tue Nov 26 13:19:27 2019,dust,0.46,6.45,13.98,,normal,0.81,24.17,29.69
Tue Nov 26 13:19:28 2019,dust,0.54,7.59,13.96,,normal,0.81,24.17,29.63
Tue Nov 26 13:19:29 2019,dust,0.53,7.46,13.96,,normal,0.78,23.24,29.61
Tue Nov 26 13:19:30 2019,dust,0.5,7.08,13.96,,normal,0.8,23.91,29.61
Tue Nov 26 13:19:31 2019,dust,0.48,6.7,13.96,,normal,0.79,23.51,29.6
Tue Nov 26 13:19:32 2019,dust,0.55,7.71,13.96,,normal,0.81,24.02,29.63
Tue Nov 26 13:19:33 2019,dust,0.49,6.95,13.95,,normal,0.8,23.91,29.7
Tue Nov 26 13:19:35 2019,dust,0.54,7.59,13.97,,normal,0.79,23.64,29.71
Tue Nov 26 13:19:36 2019,dust,0.48,6.83,13.97,,normal,0.79,23.64,29.68
Tue Nov 26 13:19:37 2019,dust,0.45,6.32,13.97,,normal,0.77,22.98,29.65
