Date/Time,Condition,current,power,voltage,,Condition,current,power,voltage
Tue Nov 26 12:47:26 2019,normal,1.19,16.09,13.47,,dust,1.07,14.8,13.8
Tue Nov 26 12:47:27 2019,normal,1.13,15.31,13.45,,dust,1.08,14.93,13.81
Tue Nov 26 12:47:28 2019,normal,1.2,16.2,13.48,,dust,1.07,14.8,13.79
Tue Nov 26 12:47:29 2019,normal,1.14,15.45,13.5,,dust,1.08,14.93,13.82
Tue Nov 26 12:47:30 2019,normal,1.15,15.58,13.46,,dust,1.06,14.67,13.78
Tue Nov 26 12:47:31 2019,normal,1.12,15.2,13.47,,dust,1.06,14.67,13.8
Tue Nov 26 12:47:32 2019,normal,1.14,15.45,13.48,,dust,1.07,14.8,13.81
Tue Nov 26 12:47:33 2019,normal,1.13,15.33,13.49,,dust,1.07,14.8,13.79
Tue Nov 26 12:47:34 2019,normal,1.21,16.34,13.49,,dust,1.06,14.67,13.78
Tue Nov 26 12:47:35 2019,normal,1.12,15.19,13.48,,dust,1.06,14.67,13.8
Tue Nov 26 12:47:36 2019,normal,1.23,16.59,13.47,,dust,1.06,14.69,13.8
Tue Nov 26 12:47:37 2019,normal,1.17,15.83,13.49,,dust,1.06,14.67,13.8
Tue Nov 26 12:47:38 2019,normal,1.2,16.21,13.47,,dust,1.06,14.67,13.8
Tue Nov 26 12:47:39 2019,normal,1.22,16.47,13.45,,dust,1.06,14.67,13.8
Tue Nov 26 12:47:40 2019,normal,1.22,16.47,13.49,,dust,1.06,14.69,13.82
Tue Nov 26 12:47:41 2019,normal,1.21,16.33,13.48,,dust,1.05,14.54,13.78
Tue Nov 26 12:47:42 2019,normal,1.16,15.71,13.48,,dust,1.05,14.56,13.79
Tue Nov 26 12:47:43 2019,normal,1.22,16.45,13.47,,dust,1.06,14.69,13.78
Tue Nov 26 12:47:45 2019,normal,1.22,16.45,13.48,,dust,1.05,14.56,13.81
Tue Nov 26 12:47:46 2019,normal,1.13,15.31,13.46,,dust,1.05,14.54,13.78
Tue Nov 26 12:47:47 2019,normal,1.11,15.07,13.47,,dust,1.05,14.54,13.82
Tue Nov 26 12:47:48 2019,normal,1.23,16.59,13.46,,dust,1.05,14.54,13.79
Tue Nov 26 12:47:49 2019,normal,1.22,16.47,13.47,,dust,1.05,14.56,13.8
Tue Nov 26 12:47:50 2019,normal,1.23,16.59,13.47,,dust,1.05,14.54,13.79
Tue Nov 26 12:47:51 2019,normal,1.19,16.09,13.47,,dust,1.05,14.54,13.8
Tue Nov 26 12:47:52 2019,normal,1.17,15.82,13.47,,dust,1.05,14.54,13.81
Tue Nov 26 12:47:53 2019,normal,1.11,15.07,13.47,,dust,1.05,14.56,13.81
Tue Nov 26 12:47:54 2019,normal,1.23,16.59,13.48,,dust,1.05,14.56,13.81
Tue Nov 26 12:47:55 2019,normal,1.12,15.2,13.46,,dust,1.05,14.56,13.81
Tue Nov 26 12:47:56 2019,normal,1.17,15.82,13.49,,dust,1.05,14.56,13.77
Tue Nov 26 12:47:57 2019,normal,1.21,16.34,13.48,,dust,1.04,14.43,13.81
Tue Nov 26 12:47:58 2019,normal,1.21,16.34,13.49,,dust,1.05,14.56,13.8
Tue Nov 26 12:47:59 2019,normal,1.12,15.2,13.48,,dust,1.04,14.43,13.8
Tue Nov 26 12:48:00 2019,normal,1.2,16.21,13.49,,dust,1.04,14.43,13.8
Tue Nov 26 12:48:01 2019,normal,1.2,16.21,13.47,,dust,1.04,14.43,13.82
Tue Nov 26 12:48:02 2019,normal,1.15,15.58,13.47,,dust,1.03,14.3,13.8
Tue Nov 26 12:48:03 2019,normal,1.19,16.09,13.47,,dust,1.04,14.43,13.8
Tue Nov 26 12:48:04 2019,normal,1.2,16.21,13.46,,dust,1.04,14.41,13.82
Tue Nov 26 12:48:05 2019,normal,1.21,16.34,13.48,,dust,1.05,14.56,13.82
Tue Nov 26 12:48:06 2019,normal,1.13,15.33,13.48,,dust,1.04,14.43,13.82
Tue Nov 26 12:48:07 2019,normal,1.22,16.47,13.46,,dust,1.04,14.43,13.82
Tue Nov 26 12:48:08 2019,normal,1.14,15.45,13.47,,dust,1.04,14.43,13.78
Tue Nov 26 12:48:09 2019,normal,1.19,16.09,13.47,,dust,1.03,14.3,13.82
Tue Nov 26 12:48:10 2019,normal,1.14,15.45,13.48,,dust,1.04,14.43,13.83
Tue Nov 26 12:48:11 2019,normal,1.14,15.45,13.48,,dust,1.04,14.43,13.82
Tue Nov 26 12:48:12 2019,normal,1.14,15.45,13.47,,dust,1.04,14.43,13.82
Tue Nov 26 12:48:13 2019,normal,1.15,15.58,13.49,,dust,1.04,14.43,13.79
Tue Nov 26 12:48:14 2019,normal,1.23,16.59,13.46,,dust,1.03,14.28,13.8
Tue Nov 26 12:48:15 2019,normal,1.21,16.34,13.48,,dust,1.04,14.43,13.81
Tue Nov 26 12:48:16 2019,normal,1.14,15.45,13.49,,dust,1.05,14.56,13.8
Tue Nov 26 12:48:17 2019,normal,1.15,15.57,13.47,,dust,1.04,14.43,13.82
Tue Nov 26 12:48:18 2019,normal,1.2,16.21,13.47,,dust,1.05,14.56,13.81
Tue Nov 26 12:48:19 2019,normal,1.14,15.45,13.48,,dust,1.05,14.56,13.81
Tue Nov 26 12:48:20 2019,normal,1.16,15.71,13.48,,dust,1.04,14.43,13.8
Tue Nov 26 12:48:21 2019,normal,1.21,16.34,13.47,,dust,1.04,14.43,13.79
Tue Nov 26 12:48:22 2019,normal,1.11,15.07,13.47,,dust,1.04,14.43,13.81
Tue Nov 26 12:48:23 2019,normal,1.14,15.45,13.47,,dust,1.04,14.43,13.82
Tue Nov 26 12:48:24 2019,normal,1.15,15.58,13.47,,dust,1.04,14.43,13.8
Tue Nov 26 12:48:25 2019,normal,1.23,16.59,13.48,,dust,1.04,14.43,13.83
Tue Nov 26 12:48:26 2019,normal,1.21,16.34,13.49,,dust,1.05,14.56,13.8
Tue Nov 26 12:48:27 2019,normal,1.14,15.45,13.46,,dust,1.05,14.56,13.8
Tue Nov 26 12:48:28 2019,normal,1.22,16.47,13.47,,dust,1.04,14.43,13.8
Tue Nov 26 12:48:29 2019,normal,1.2,16.21,13.47,,dust,1.04,14.43,13.82
Tue Nov 26 12:48:30 2019,normal,1.21,16.34,13.45,,dust,1.04,14.43,13.8
Tue Nov 26 12:48:31 2019,normal,1.12,15.2,13.47,,dust,1.05,14.56,13.82
Tue Nov 26 12:48:32 2019,normal,1.11,15.07,13.47,,dust,1.04,14.43,13.81
Tue Nov 26 12:48:33 2019,normal,1.22,16.47,13.47,,dust,1.03,14.3,13.8
Tue Nov 26 12:48:34 2019,normal,1.19,16.09,13.48,,dust,1.05,14.56,13.8
Tue Nov 26 12:48:35 2019,normal,1.22,16.47,13.49,,dust,1.04,14.43,13.81
Tue Nov 26 12:48:36 2019,normal,1.13,15.33,13.49,,dust,1.03,14.3,13.81
Tue Nov 26 12:48:37 2019,normal,1.19,16.1,13.47,,dust,1.04,14.43,13.82
Tue Nov 26 12:48:38 2019,normal,1.15,15.58,13.48,,dust,1.04,14.43,13.82
Tue Nov 26 12:48:39 2019,normal,1.18,15.96,13.48,,dust,1.04,14.43,13.8
Tue Nov 26 12:48:40 2019,normal,1.19,16.09,13.47,,dust,1.04,14.43,13.82
Tue Nov 26 12:48:41 2019,normal,1.14,15.45,13.47,,dust,1.04,14.43,13.8
Tue Nov 26 12:48:42 2019,normal,1.13,15.33,13.47,,dust,1.04,14.43,13.81
Tue Nov 26 12:48:43 2019,normal,1.11,15.07,13.48,,dust,1.04,14.43,13.81
Tue Nov 26 12:48:44 2019,normal,1.13,15.33,13.48,,dust,1.04,14.43,13.8
Tue Nov 26 12:48:45 2019,normal,1.17,15.83,13.49,,dust,1.04,14.43,13.82
Tue Nov 26 12:48:46 2019,normal,1.11,15.08,13.49,,dust,1.05,14.56,13.82
Tue Nov 26 12:48:47 2019,normal,1.16,15.71,13.47,,dust,1.03,14.3,13.83
Tue Nov 26 12:48:48 2019,normal,1.16,15.71,13.46,,dust,1.03,14.3,13.82
Tue Nov 26 12:48:49 2019,normal,1.12,15.2,13.48,,dust,1.03,14.3,13.81
Tue Nov 26 12:48:50 2019,normal,1.22,16.47,13.46,,dust,1.05,14.57,13.81
Tue Nov 26 12:48:51 2019,normal,1.18,15.97,13.49,,dust,1.04,14.43,13.84
Tue Nov 26 12:48:52 2019,normal,1.15,15.59,13.47,,dust,1.04,14.43,13.81
Tue Nov 26 12:48:53 2019,normal,1.13,15.34,13.52,,dust,1.03,14.31,13.82
Tue Nov 26 12:48:54 2019,normal,1.16,15.71,13.47,,dust,1.05,14.57,13.82
Tue Nov 26 12:48:55 2019,normal,1.2,16.23,13.46,,dust,1.04,14.44,13.8
Tue Nov 26 12:48:56 2019,normal,1.23,16.72,13.51,,dust,1.04,14.43,13.83
Tue Nov 26 12:48:57 2019,normal,1.2,16.23,13.5,,dust,1.04,14.44,13.81
Tue Nov 26 12:48:58 2019,normal,1.11,15.08,13.48,,dust,1.03,14.3,13.8
Tue Nov 26 12:48:59 2019,normal,1.13,15.33,13.46,,dust,1.04,14.43,13.8
Tue Nov 26 12:49:00 2019,normal,1.2,16.21,13.49,,dust,1.03,14.3,13.82
Tue Nov 26 12:49:01 2019,normal,1.22,16.47,13.49,,dust,1.04,14.44,13.78
Tue Nov 26 12:49:02 2019,normal,1.17,15.83,13.48,,dust,1.04,14.43,13.79
Tue Nov 26 12:49:03 2019,normal,1.14,15.46,13.48,,dust,1.04,14.44,13.81
Tue Nov 26 12:49:04 2019,normal,1.13,15.33,13.46,,dust,1.04,14.43,13.83
Tue Nov 26 12:49:05 2019,normal,1.12,15.21,13.48,,dust,1.04,14.44,13.8
Tue Nov 26 12:49:06 2019,normal,1.18,15.97,13.47,,dust,1.04,14.43,13.8
Tue Nov 26 12:49:07 2019,normal,1.17,15.85,13.49,,dust,1.04,14.44,13.8
Tue Nov 26 12:49:08 2019,normal,1.16,15.71,13.48,,dust,1.04,14.43,13.82
Tue Nov 26 12:49:09 2019,normal,1.16,15.71,13.47,,dust,1.04,14.43,13.82
Tue Nov 26 12:49:10 2019,normal,1.13,15.33,13.47,,dust,1.04,14.44,13.78
Tue Nov 26 12:49:11 2019,normal,1.17,15.85,13.48,,dust,1.04,14.44,13.82
Tue Nov 26 12:49:12 2019,normal,1.14,15.34,13.45,,dust,1.04,14.44,13.81
Tue Nov 26 12:49:13 2019,normal,1.15,15.59,13.48,,dust,1.04,14.44,13.82
Tue Nov 26 12:49:14 2019,normal,1.19,16.1,13.49,,dust,1.04,14.44,13.81
Tue Nov 26 12:49:15 2019,normal,1.21,16.35,13.47,,dust,1.05,14.57,13.8
Tue Nov 26 12:49:16 2019,normal,1.17,15.83,13.5,,dust,1.04,14.44,13.82
Tue Nov 26 12:49:17 2019,normal,1.2,16.21,13.5,,dust,1.04,14.43,13.84
Tue Nov 26 12:49:18 2019,normal,1.15,15.58,13.5,,dust,1.04,14.43,13.79
Tue Nov 26 12:49:19 2019,normal,1.21,16.34,13.49,,dust,1.04,14.44,13.79
Tue Nov 26 12:49:20 2019,normal,1.17,15.83,13.48,,dust,1.03,14.31,13.81
Tue Nov 26 12:49:21 2019,normal,1.17,15.83,13.47,,dust,1.04,14.44,13.82
Tue Nov 26 12:49:22 2019,normal,1.12,15.21,13.47,,dust,1.04,14.44,13.82
Tue Nov 26 12:49:23 2019,normal,1.11,14.96,13.46,,dust,1.04,14.44,13.82
Tue Nov 26 12:49:24 2019,normal,1.1,14.96,13.49,,dust,1.03,14.31,13.81
Tue Nov 26 12:49:25 2019,normal,1.17,15.85,13.49,,dust,1.04,14.44,13.82
