,Condition,Date/Time,current,power,voltage,,,current,power,voltage
48,normal,Mon Nov 25 18:53:33 2019,0.23,3.28,13.86,,,0.4,5.71,14.2
49,normal,Mon Nov 25 18:53:34 2019,0.33,4.68,13.91,,,0.47,6.76,14.23
50,normal,Mon Nov 25 18:53:35 2019,0.38,5.31,13.89,,,0.54,7.8,14.24
51,normal,Mon Nov 25 18:53:36 2019,0.41,5.81,13.93,,,0.62,8.84,14.25
52,normal,Mon Nov 25 18:53:37 2019,0.38,5.31,13.93,,,0.63,9.1,14.27
53,normal,Mon Nov 25 18:53:38 2019,0.42,5.94,13.93,,,0.68,9.75,14.28
54,normal,Mon Nov 25 18:53:39 2019,0.31,4.42,13.93,,,0.66,9.49,14.27
55,normal,Mon Nov 25 18:53:40 2019,0.3,4.3,13.91,,,0.65,9.36,14.27
56,normal,Mon Nov 25 18:53:41 2019,0.33,4.67,13.9,,,0.61,8.71,14.27
57,normal,Mon Nov 25 18:53:42 2019,0.27,3.79,13.89,,,0.55,7.93,14.24
58,normal,Mon Nov 25 18:53:43 2019,0.26,3.66,13.87,,,0.52,7.41,14.23
59,normal,Mon Nov 25 18:53:44 2019,0.21,3.03,13.85,,,0.49,7.02,14.21
60,normal,Mon Nov 25 18:53:45 2019,0.2,2.78,13.87,,,0.47,6.76,14.21
61,normal,Mon Nov 25 18:53:46 2019,0.18,2.52,13.85,,,0.41,5.84,14.19
62,normal,Mon Nov 25 18:53:47 2019,0.21,2.9,13.84,,,0.37,5.32,14.18
63,normal,Mon Nov 25 18:53:48 2019,0.15,2.14,13.82,,,0.36,5.19,14.16
64,normal,Mon Nov 25 18:53:49 2019,0.15,2.14,13.82,,,0.38,5.45,14.16
65,normal,Mon Nov 25 18:53:50 2019,0.21,2.9,13.84,,,0.37,5.32,14.18
66,normal,Mon Nov 25 18:53:51 2019,0.11,1.64,13.81,,,0.35,5.06,14.18
67,normal,Mon Nov 25 18:53:52 2019,0.21,2.9,13.81,,,0.35,5.06,14.16
68,normal,Mon Nov 25 18:53:53 2019,0.15,2.14,13.8,,,0.35,5.06,14.14
69,normal,Mon Nov 25 18:53:54 2019,0.1,1.38,13.81,,,0.31,4.41,14.16
70,normal,Mon Nov 25 18:53:55 2019,0.1,1.51,13.81,,,0.31,4.41,14.15
71,normal,Mon Nov 25 18:53:56 2019,0.11,1.64,13.79,,,0.29,4.15,14.11
72,normal,Mon Nov 25 18:53:57 2019,0.16,2.27,13.79,,,0.26,3.76,14.1
73,normal,Mon Nov 25 18:53:58 2019,0.06,0.88,13.78,,,0.26,3.76,14.11
74,normal,Mon Nov 25 18:53:59 2019,0.1,1.38,13.78,,,0.25,3.63,14.1
75,normal,Mon Nov 25 18:54:00 2019,0.15,2.14,13.8,,,0.27,3.89,14.11
76,normal,Mon Nov 25 18:54:01 2019,0.16,2.27,13.78,,,0.28,4.02,14.1
77,normal,Mon Nov 25 18:54:02 2019,0.1,1.38,13.79,,,0.24,3.5,14.11
78,normal,Mon Nov 25 18:54:03 2019,0.14,2.02,13.78,,,0.26,3.76,14.09
79,normal,Mon Nov 25 18:54:04 2019,0.1,1.38,13.79,,,0.26,3.76,14.1
80,normal,Mon Nov 25 18:54:05 2019,0.07,1.01,13.77,,,0.26,3.76,14.11
81,normal,Mon Nov 25 18:54:06 2019,0.13,1.89,13.78,,,0.29,4.15,14.1
82,normal,Mon Nov 25 18:54:07 2019,0.19,2.65,13.77,,,0.28,4.02,14.11
83,normal,Mon Nov 25 18:54:08 2019,0.06,0.88,13.79,,,0.27,3.89,14.12
84,normal,Mon Nov 25 18:54:09 2019,0.18,2.52,13.78,,,0.29,4.15,14.1
85,normal,Mon Nov 25 18:54:10 2019,0.07,1.01,13.79,,,0.28,4.02,14.11
86,normal,Mon Nov 25 18:54:11 2019,0.15,2.14,13.78,,,0.27,3.89,14.11
87,normal,Mon Nov 25 18:54:12 2019,0.13,1.89,13.78,,,0.27,3.89,14.12
88,normal,Mon Nov 25 18:54:13 2019,0.17,2.39,13.79,,,0.27,3.89,14.1
89,normal,Mon Nov 25 18:54:14 2019,0.1,1.51,13.78,,,0.27,3.89,14.1
90,normal,Mon Nov 25 18:54:15 2019,0.09,1.26,13.79,,,0.27,3.89,14.11
91,normal,Mon Nov 25 18:54:16 2019,0.17,2.39,13.8,,,0.28,4.02,14.11
92,normal,Mon Nov 25 18:54:17 2019,0.18,2.52,13.78,,,0.3,4.28,14.12
93,normal,Mon Nov 25 18:54:18 2019,0.1,1.51,13.81,,,0.32,4.53,14.14
94,normal,Mon Nov 25 18:54:19 2019,0.11,1.64,13.8,,,0.33,4.79,14.15
95,normal,Mon Nov 25 18:54:20 2019,0.18,2.52,13.82,,,0.33,4.79,14.14
