Date/Time,condition,current,power,voltage,,condition,current,power,voltage
Sat Nov 23 13:49:43 2019,normal,0.78,10.9,13.87,,light_dust,0.6,8.54,14.23
Sat Nov 23 13:49:44 2019,normal,0.78,10.9,13.9,,light_dust,0.6,8.54,14.22
Sat Nov 23 13:49:45 2019,normal,0.77,10.76,13.87,,light_dust,0.6,8.54,14.23
Sat Nov 23 13:49:46 2019,normal,0.77,10.76,13.86,,light_dust,0.6,8.54,14.21
Sat Nov 23 13:49:47 2019,normal,0.77,10.77,13.87,,light_dust,0.6,8.54,14.23
Sat Nov 23 13:49:48 2019,normal,0.76,10.64,13.86,,light_dust,0.6,8.54,14.23
Sat Nov 23 13:49:49 2019,normal,0.76,10.65,13.87,,light_dust,0.59,8.41,14.23
Sat Nov 23 13:49:50 2019,normal,0.76,10.65,13.87,,light_dust,0.58,8.28,14.22
Sat Nov 23 13:49:51 2019,normal,0.76,10.64,13.85,,light_dust,0.58,8.28,14.23
Sat Nov 23 13:49:52 2019,normal,0.76,10.64,13.87,,light_dust,0.58,8.28,14.22
Sat Nov 23 13:49:53 2019,normal,0.75,10.51,13.85,,light_dust,0.58,8.28,14.22
Sat Nov 23 13:49:54 2019,normal,0.75,10.51,13.85,,light_dust,0.58,8.28,14.22
Sat Nov 23 13:49:55 2019,normal,0.75,10.51,13.86,,light_dust,0.57,8.15,14.23
Sat Nov 23 13:49:56 2019,normal,0.75,10.51,13.85,,light_dust,0.57,8.15,14.21
Sat Nov 23 13:49:57 2019,normal,0.75,10.51,13.85,,light_dust,0.57,8.15,14.23
Sat Nov 23 13:49:58 2019,normal,0.75,10.39,13.85,,light_dust,0.56,8.02,14.23
Sat Nov 23 13:49:59 2019,normal,0.74,10.39,13.86,,light_dust,0.57,8.15,14.22
Sat Nov 23 13:50:00 2019,normal,0.75,10.39,13.85,,light_dust,0.57,8.15,14.23
Sat Nov 23 13:50:01 2019,normal,0.75,10.39,13.85,,light_dust,0.56,8.02,14.22
Sat Nov 23 13:50:02 2019,normal,0.75,10.39,13.84,,light_dust,0.55,7.89,14.22
Sat Nov 23 13:50:03 2019,normal,0.75,10.39,13.84,,light_dust,0.55,7.89,14.2
Sat Nov 23 13:50:04 2019,normal,0.74,10.39,13.87,,light_dust,0.55,7.89,14.21
Sat Nov 23 13:50:05 2019,normal,0.74,10.26,13.83,,light_dust,0.56,8.02,14.21
Sat Nov 23 13:50:06 2019,normal,0.74,10.39,13.86,,light_dust,0.55,7.89,14.22
Sat Nov 23 13:50:07 2019,normal,0.75,10.39,13.85,,light_dust,0.55,7.89,14.21
Sat Nov 23 13:50:08 2019,normal,0.74,10.26,13.87,,light_dust,0.54,7.77,14.22
Sat Nov 23 13:50:09 2019,normal,0.74,10.27,13.84,,light_dust,0.55,7.89,14.21
Sat Nov 23 13:50:10 2019,normal,0.75,10.39,13.85,,light_dust,0.54,7.77,14.21
Sat Nov 23 13:50:11 2019,normal,0.75,10.39,13.85,,light_dust,0.54,7.77,14.2
Sat Nov 23 13:50:12 2019,normal,0.75,10.39,13.85,,light_dust,0.53,7.64,14.21
Sat Nov 23 13:50:13 2019,normal,0.75,10.39,13.85,,light_dust,0.53,7.64,14.19
Sat Nov 23 13:50:14 2019,normal,0.75,10.39,13.86,,light_dust,0.52,7.51,14.21
Sat Nov 23 13:50:15 2019,normal,0.75,10.39,13.85,,light_dust,0.53,7.63,14.19
Sat Nov 23 13:50:16 2019,normal,0.75,10.39,13.84,,light_dust,0.53,7.63,14.2
Sat Nov 23 13:50:17 2019,normal,0.75,10.51,13.85,,light_dust,0.52,7.51,14.2
Sat Nov 23 13:50:18 2019,normal,0.75,10.39,13.85,,light_dust,0.53,7.64,14.19
Sat Nov 23 13:50:19 2019,normal,0.75,10.51,13.85,,light_dust,0.52,7.51,14.19
Sat Nov 23 13:50:20 2019,normal,0.74,10.39,13.86,,light_dust,0.51,7.38,14.21
Sat Nov 23 13:50:21 2019,normal,0.75,10.39,13.85,,light_dust,0.52,7.51,14.2
Sat Nov 23 13:50:22 2019,normal,0.75,10.52,13.85,,light_dust,0.52,7.5,14.21
Sat Nov 23 13:50:23 2019,normal,0.75,10.51,13.87,,light_dust,0.52,7.5,14.21
Sat Nov 23 13:50:24 2019,normal,0.76,10.64,13.85,,light_dust,0.53,7.63,14.2
Sat Nov 23 13:50:25 2019,normal,0.75,10.51,13.84,,light_dust,0.54,7.77,14.2
Sat Nov 23 13:50:26 2019,normal,0.75,10.51,13.85,,light_dust,0.53,7.64,14.22
Sat Nov 23 13:50:27 2019,normal,0.76,10.65,13.85,,light_dust,0.52,7.51,14.2
Sat Nov 23 13:50:28 2019,normal,0.76,10.64,13.86,,light_dust,0.52,7.51,14.21
Sat Nov 23 13:50:29 2019,normal,0.75,10.51,13.84,,light_dust,0.52,7.51,14.21
Sat Nov 23 13:50:30 2019,normal,0.76,10.64,13.87,,light_dust,0.51,7.37,14.19
Sat Nov 23 13:50:31 2019,normal,0.76,10.64,13.85,,light_dust,0.52,7.51,14.21
Sat Nov 23 13:50:32 2019,normal,0.76,10.65,13.86,,light_dust,0.52,7.38,14.19
Sat Nov 23 13:50:33 2019,normal,0.76,10.65,13.86,,light_dust,0.51,7.37,14.2
Sat Nov 23 13:50:34 2019,normal,0.77,10.76,13.87,,light_dust,0.51,7.25,14.19
Sat Nov 23 13:50:35 2019,normal,0.76,10.64,13.85,,light_dust,0.51,7.38,14.2
Sat Nov 23 13:50:36 2019,normal,0.75,10.52,13.85,,light_dust,0.52,7.37,14.18
Sat Nov 23 13:50:37 2019,normal,0.77,10.76,13.86,,light_dust,0.51,7.25,14.19
Sat Nov 23 13:50:38 2019,normal,0.77,10.76,13.85,,light_dust,0.51,7.24,14.18
Sat Nov 23 13:50:39 2019,normal,0.77,10.77,13.86,,light_dust,0.51,7.25,14.19
Sat Nov 23 13:50:40 2019,normal,0.77,10.77,13.87,,light_dust,0.51,7.24,14.19
Sat Nov 23 13:50:41 2019,normal,0.77,10.77,13.86,,light_dust,0.52,7.38,14.18
