Date/Time,Condition,current,power,voltage,,Condition,current,power,voltage
Tue Nov 26 13:03:18 2019,dust,1.06,14.43,13.49,,normal,1.1,15.37,13.86
Tue Nov 26 13:03:19 2019,dust,1.07,14.43,13.46,,normal,1.11,15.37,13.84
Tue Nov 26 13:03:20 2019,dust,1.15,15.58,13.47,,normal,1.12,15.63,13.84
Tue Nov 26 13:03:21 2019,dust,1.14,15.45,13.5,,normal,1.12,15.5,13.81
Tue Nov 26 13:03:22 2019,dust,1.08,14.57,13.49,,normal,1.14,15.76,13.83
Tue Nov 26 13:03:23 2019,dust,1.13,15.33,13.47,,normal,1.12,15.5,13.83
Tue Nov 26 13:03:24 2019,dust,1.09,14.82,13.51,,normal,1.14,15.89,13.84
Tue Nov 26 13:03:25 2019,dust,1.1,14.82,13.47,,normal,1.13,15.63,13.83
Tue Nov 26 13:03:26 2019,dust,1.15,15.58,13.48,,normal,1.12,15.63,13.84
Tue Nov 26 13:03:27 2019,dust,1.06,14.31,13.47,,normal,1.1,15.24,13.85
Tue Nov 26 13:03:28 2019,dust,1.13,15.33,13.47,,normal,1.12,15.5,13.84
Tue Nov 26 13:03:29 2019,dust,1.13,15.33,13.48,,normal,1.11,15.37,13.84
Tue Nov 26 13:03:30 2019,dust,1.09,14.69,13.48,,normal,1.11,15.37,13.81
Tue Nov 26 13:03:31 2019,dust,1.12,15.2,13.46,,normal,1.1,15.24,13.83
Tue Nov 26 13:03:32 2019,dust,1.12,15.2,13.47,,normal,1.13,15.76,13.84
Tue Nov 26 13:03:33 2019,dust,1.09,14.69,13.47,,normal,1.13,15.63,13.83
Tue Nov 26 13:03:34 2019,dust,1.14,15.45,13.47,,normal,1.09,15.11,13.84
Tue Nov 26 13:03:35 2019,dust,1.14,15.45,13.49,,normal,1.12,15.63,13.84
Tue Nov 26 13:03:36 2019,dust,1.14,15.45,13.47,,normal,1.11,15.5,13.86
Tue Nov 26 13:03:37 2019,dust,1.14,15.45,13.49,,normal,1.13,15.64,13.84
Tue Nov 26 13:03:38 2019,dust,1.08,14.69,13.5,,normal,1.11,15.37,13.84
Tue Nov 26 13:03:39 2019,dust,1.12,15.07,13.46,,normal,1.1,15.24,13.83
Tue Nov 26 13:03:40 2019,dust,1.16,15.71,13.47,,normal,1.13,15.63,13.82
Tue Nov 26 13:03:41 2019,dust,1.1,14.95,13.51,,normal,1.11,15.37,13.82
Tue Nov 26 13:03:42 2019,dust,1.14,15.45,13.48,,normal,1.12,15.5,13.83
Tue Nov 26 13:03:43 2019,dust,1.11,15.07,13.47,,normal,1.09,15.11,13.84
Tue Nov 26 13:03:44 2019,dust,1.11,15.07,13.47,,normal,1.12,15.5,13.84
Tue Nov 26 13:03:45 2019,dust,1.09,14.69,13.48,,normal,1.09,15.11,13.85
Tue Nov 26 13:03:46 2019,dust,1.13,15.33,13.48,,normal,1.1,15.23,13.83
Tue Nov 26 13:03:47 2019,dust,1.08,14.69,13.5,,normal,1.1,15.24,13.85
Tue Nov 26 13:03:48 2019,dust,1.1,14.95,13.5,,normal,1.07,14.85,13.83
Tue Nov 26 13:03:49 2019,dust,1.17,15.85,13.48,,normal,1.11,15.37,13.84
Tue Nov 26 13:03:50 2019,dust,1.1,14.95,13.48,,normal,1.1,15.24,13.83
Tue Nov 26 13:03:51 2019,dust,1.05,14.2,13.48,,normal,1.09,15.12,13.84
Tue Nov 26 13:03:52 2019,dust,1.04,14.07,13.47,,normal,1.08,14.98,13.85
Tue Nov 26 13:03:53 2019,dust,1.07,14.44,13.49,,normal,1.11,15.38,13.83
Tue Nov 26 13:03:54 2019,dust,1.17,15.83,13.49,,normal,1.07,14.85,13.82
Tue Nov 26 13:03:55 2019,dust,1.08,14.57,13.45,,normal,1.06,14.72,13.83
Tue Nov 26 13:03:56 2019,dust,1.07,14.45,13.48,,normal,1.07,14.85,13.82
Tue Nov 26 13:03:57 2019,dust,1.04,14.07,13.47,,normal,1.08,14.98,13.82
Tue Nov 26 13:03:58 2019,dust,1.07,14.44,13.48,,normal,1.05,14.59,13.85
Tue Nov 26 13:03:59 2019,dust,1.16,15.72,13.45,,normal,1.09,15.11,13.84
Tue Nov 26 13:04:00 2019,dust,1.09,14.7,13.45,,normal,1.07,14.85,13.84
Tue Nov 26 13:04:01 2019,dust,1.07,14.57,13.5,,normal,1.06,14.72,13.84
Tue Nov 26 13:04:02 2019,dust,1.13,15.34,13.48,,normal,1.06,14.73,13.84
Tue Nov 26 13:04:03 2019,dust,1.1,14.83,13.48,,normal,1.07,14.85,13.84
Tue Nov 26 13:04:04 2019,dust,1.12,15.21,13.49,,normal,1.08,14.99,13.83
Tue Nov 26 13:04:05 2019,dust,1.13,15.33,13.47,,normal,1.04,14.46,13.83
Tue Nov 26 13:04:06 2019,dust,1.13,15.34,13.48,,normal,1.06,14.72,13.83
Tue Nov 26 13:04:07 2019,dust,1.11,15.08,13.48,,normal,1.07,14.85,13.83
Tue Nov 26 13:04:08 2019,dust,1.13,15.34,13.47,,normal,1.07,14.85,13.85
Tue Nov 26 13:04:09 2019,dust,1.07,14.44,13.47,,normal,1.06,14.72,13.84
Tue Nov 26 13:04:10 2019,dust,1.12,15.21,13.48,,normal,1.05,14.59,13.84
Tue Nov 26 13:04:11 2019,dust,1.11,15.08,13.49,,normal,1.07,14.85,13.83
Tue Nov 26 13:04:12 2019,dust,1.12,15.2,13.47,,normal,1.06,14.72,13.84
Tue Nov 26 13:04:13 2019,dust,1.06,14.32,13.48,,normal,1.06,14.72,13.83
Tue Nov 26 13:04:14 2019,dust,1.05,14.19,13.42,,normal,1.04,14.46,13.84
Tue Nov 26 13:04:15 2019,dust,1.05,14.2,13.49,,normal,1.05,14.59,13.83
Tue Nov 26 13:04:16 2019,dust,1.13,15.34,13.49,,normal,1.07,14.86,13.84
Tue Nov 26 13:04:17 2019,dust,1.14,15.46,13.49,,normal,1.07,14.85,13.84
Tue Nov 26 13:04:18 2019,dust,1.05,14.2,13.5,,normal,1.05,14.59,13.86
Tue Nov 26 13:04:19 2019,dust,1.15,15.59,13.5,,normal,1.03,14.33,13.85
Tue Nov 26 13:04:20 2019,dust,1.06,14.32,13.49,,normal,1.05,14.59,13.84
Tue Nov 26 13:04:21 2019,dust,1.16,15.72,13.47,,normal,1.05,14.6,13.84
Tue Nov 26 13:04:22 2019,dust,1.06,14.32,13.47,,normal,1.05,14.6,13.84
Tue Nov 26 13:04:23 2019,dust,1.09,14.7,13.47,,normal,1.06,14.73,13.84
Tue Nov 26 13:04:24 2019,dust,1.1,14.83,13.47,,normal,1.05,14.59,13.83
Tue Nov 26 13:04:25 2019,dust,1.11,14.96,13.47,,normal,1.04,14.46,13.84
Tue Nov 26 13:04:26 2019,dust,1.14,15.45,13.49,,normal,1.06,14.72,13.84
Tue Nov 26 13:04:27 2019,dust,1.15,15.59,13.49,,normal,1.06,14.72,13.84
Tue Nov 26 13:04:28 2019,dust,1.1,14.83,13.47,,normal,1.04,14.47,13.83
Tue Nov 26 13:04:29 2019,dust,1.05,14.2,13.49,,normal,1.07,14.86,13.84
Tue Nov 26 13:04:30 2019,dust,1.07,14.44,13.47,,normal,1.04,14.47,13.85
Tue Nov 26 13:04:31 2019,dust,1.15,15.58,13.47,,normal,1.07,14.85,13.82
Tue Nov 26 13:04:32 2019,dust,1.07,14.45,13.49,,normal,1.05,14.59,13.85
Tue Nov 26 13:04:33 2019,dust,1.18,15.97,13.49,,normal,1.04,14.47,13.86
Tue Nov 26 13:04:34 2019,dust,1.14,15.46,13.5,,normal,1.06,14.72,13.84
Tue Nov 26 13:04:35 2019,dust,1.04,14.06,13.48,,normal,1.04,14.47,13.83
Tue Nov 26 13:04:36 2019,dust,1.09,14.7,13.49,,normal,1.07,14.85,13.84
Tue Nov 26 13:04:37 2019,dust,1.06,14.32,13.47,,normal,1.03,14.33,13.86
Tue Nov 26 13:04:38 2019,dust,1.16,15.71,13.49,,normal,1.03,14.33,13.83
Tue Nov 26 13:04:39 2019,dust,1.03,13.93,13.48,,normal,1.06,14.73,13.85
Tue Nov 26 13:04:40 2019,dust,1.15,15.59,13.49,,normal,1.06,14.73,13.84
