,Condition,Date/Time,current,power,voltage
338,normal,Wed Nov  6 19:58:07 2019,0.34,5.08,14.57
339,normal,Wed Nov  6 19:58:08 2019,0.33,4.82,14.59
340,normal,Wed Nov  6 19:58:09 2019,0.33,4.95,14.58
341,normal,Wed Nov  6 19:58:10 2019,0.33,4.95,14.58
342,normal,Wed Nov  6 19:58:11 2019,0.34,5.08,14.59
343,normal,Wed Nov  6 19:58:12 2019,0.32,4.68,14.57
344,normal,Wed Nov  6 19:58:13 2019,0.32,4.68,14.58
345,normal,Wed Nov  6 19:58:14 2019,0.34,5.08,14.58
346,normal,Wed Nov  6 19:58:15 2019,0.35,5.22,14.56
347,normal,Wed Nov  6 19:58:16 2019,0.33,4.95,14.58
348,normal,Wed Nov  6 19:58:18 2019,0.34,4.95,14.55
349,normal,Wed Nov  6 19:58:19 2019,0.33,4.82,14.57
350,normal,Wed Nov  6 19:58:20 2019,0.32,4.68,14.59
351,normal,Wed Nov  6 19:58:21 2019,0.32,4.68,14.57
352,normal,Wed Nov  6 19:58:22 2019,0.33,4.81,14.57
353,normal,Wed Nov  6 19:58:23 2019,0.32,4.68,14.57
354,normal,Wed Nov  6 19:58:24 2019,0.33,4.81,14.59
355,normal,Wed Nov  6 19:58:25 2019,0.34,5.08,14.58
356,normal,Wed Nov  6 19:58:26 2019,0.33,4.95,14.58
357,normal,Wed Nov  6 19:58:27 2019,0.34,5.08,14.57
358,normal,Wed Nov  6 19:58:28 2019,0.31,4.55,14.57
359,normal,Wed Nov  6 19:58:29 2019,0.33,4.82,14.57
