,Condition,Date/Time,current,power,voltage
0,normal,Wed Nov  6 20:00:44 2019,0.55,8.17,14.68
1,normal,Wed Nov  6 20:00:45 2019,0.55,8.18,14.69
2,normal,Wed Nov  6 20:00:46 2019,0.57,8.44,14.68
3,normal,Wed Nov  6 20:00:47 2019,0.56,8.31,14.69
4,normal,Wed Nov  6 20:00:48 2019,0.56,8.32,14.68
5,normal,Wed Nov  6 20:00:49 2019,0.56,8.32,14.69
6,normal,Wed Nov  6 20:00:50 2019,0.56,8.32,14.69
7,normal,Wed Nov  6 20:00:51 2019,0.55,8.18,14.7
8,normal,Wed Nov  6 20:00:52 2019,0.56,8.32,14.7
9,normal,Wed Nov  6 20:00:53 2019,0.57,8.46,14.69
10,normal,Wed Nov  6 20:00:54 2019,0.54,8.05,14.7
11,normal,Wed Nov  6 20:00:55 2019,0.57,8.46,14.71
12,normal,Wed Nov  6 20:00:56 2019,0.55,8.19,14.72
13,normal,Wed Nov  6 20:00:57 2019,0.55,8.19,14.72
14,normal,Wed Nov  6 20:00:58 2019,0.57,8.46,14.72
15,normal,Wed Nov  6 20:00:59 2019,0.53,7.92,14.72
16,normal,Wed Nov  6 20:01:00 2019,0.57,8.46,14.73
17,normal,Wed Nov  6 20:01:01 2019,0.56,8.33,14.73
18,normal,Wed Nov  6 20:01:02 2019,0.56,8.33,14.74
19,normal,Wed Nov  6 20:01:03 2019,0.56,8.33,14.74
20,normal,Wed Nov  6 20:01:04 2019,0.55,8.21,14.75
21,normal,Wed Nov  6 20:01:05 2019,0.59,8.74,14.73
22,normal,Wed Nov  6 20:01:06 2019,0.53,7.94,14.73
23,normal,Wed Nov  6 20:01:07 2019,0.54,8.07,14.74
24,normal,Wed Nov  6 20:01:08 2019,0.56,8.35,14.74
25,normal,Wed Nov  6 20:01:09 2019,0.54,8.07,14.74
26,normal,Wed Nov  6 20:01:10 2019,0.54,8.08,14.74
27,normal,Wed Nov  6 20:01:11 2019,0.57,8.48,14.74
28,normal,Wed Nov  6 20:01:12 2019,0.58,8.62,14.75
29,normal,Wed Nov  6 20:01:13 2019,0.58,8.62,14.74
30,normal,Wed Nov  6 20:01:14 2019,0.56,8.35,14.74
31,normal,Wed Nov  6 20:01:15 2019,0.53,7.95,14.74
32,normal,Wed Nov  6 20:01:16 2019,0.58,8.62,14.76
33,normal,Wed Nov  6 20:01:17 2019,0.55,8.22,14.76
34,normal,Wed Nov  6 20:01:18 2019,0.55,8.22,14.76
35,normal,Wed Nov  6 20:01:19 2019,0.58,8.62,14.77
36,normal,Wed Nov  6 20:01:20 2019,0.54,8.09,14.78
37,normal,Wed Nov  6 20:01:21 2019,0.54,8.09,14.78
38,normal,Wed Nov  6 20:01:22 2019,0.58,8.64,14.78
39,normal,Wed Nov  6 20:01:23 2019,0.56,8.37,14.76
40,normal,Wed Nov  6 20:01:24 2019,0.57,8.49,14.77
41,normal,Wed Nov  6 20:01:25 2019,0.58,8.64,14.77
42,normal,Wed Nov  6 20:01:26 2019,0.58,8.64,14.77
43,normal,Wed Nov  6 20:01:27 2019,0.53,7.96,14.77
44,normal,Wed Nov  6 20:01:28 2019,0.55,8.23,14.79
45,normal,Wed Nov  6 20:01:29 2019,0.55,8.24,14.77
46,normal,Wed Nov  6 20:01:30 2019,0.56,8.37,14.79
47,normal,Wed Nov  6 20:01:32 2019,0.59,8.78,14.78
48,normal,Wed Nov  6 20:01:33 2019,0.56,8.37,14.78
49,normal,Wed Nov  6 20:01:34 2019,0.54,8.1,14.77
50,normal,Wed Nov  6 20:01:35 2019,0.56,8.37,14.79
51,normal,Wed Nov  6 20:01:36 2019,0.55,8.24,14.79
52,normal,Wed Nov  6 20:01:37 2019,0.59,8.78,14.79
53,normal,Wed Nov  6 20:01:38 2019,0.58,8.65,14.8
54,normal,Wed Nov  6 20:01:39 2019,0.56,8.38,14.79
