,date_time,power,power_unknown,DCV,DCA,ACV,ACHZ,TMPI
0,201709120646,1.145,683,29.36,0.08,241.5,60.01,11.0
1,201709120648,2.072,125,29.62,0.09,241.8,59.97,11.0
2,201709120649,2.313,80,29.8,0.09,241.6,59.97,11.0
3,201709120650,2.551,49,29.81,0.1,241.3,59.99,11.0
4,201709120650,3.333,3,29.91,0.1,241.5,59.98,11.0
5,201709120651,2.8,55,29.93,0.11,241.4,59.99,11.0
6,201709120652,2.936,47,30.0,0.11,241.5,59.99,11.0
7,201709120653,3.137,51,30.07,0.12,241.2,59.99,11.0
8,201709120654,3.327,52,30.2,0.13,241.5,59.99,11.0
9,201709120654,3.653,49,30.18,0.14,241.4,59.99,11.0
10,201709120655,3.843,51,30.3,0.14,241.5,60.0,11.0
11,201709120700,4.709,302,30.74,0.19,244.3,59.99,11.0
12,201709120705,6.023,300,30.85,0.23,244.0,59.99,11.0
13,201709120710,7.092,304,31.02,0.25,245.2,59.99,11.0
14,201709120715,8.454,304,31.25,0.32,243.5,59.99,12.0
15,201709120720,9.887,301,31.28,0.34,242.8,60.02,12.0
16,201709120725,10.97,302,31.5,0.38,241.4,60.02,12.0
17,201709120731,12.02,304,31.64,0.43,242.2,59.98,12.0
18,201709120736,13.97,302,31.77,0.5,242.2,59.99,12.0
19,201709120741,14.772,302,31.9,0.52,242.4,60.0,12.0
20,201709120746,17.974,302,32.09,0.62,242.9,60.0,13.0
21,201709120751,19.671,346,32.22,0.65,242.6,60.02,13.0
22,201709120756,20.55,300,32.22,0.7,242.4,60.02,13.0
23,201709120801,22.535,301,32.39,0.78,241.7,60.0,14.0
24,201709120806,25.734,305,32.41,0.82,242.2,59.99,14.0
25,201709120812,25.738,301,32.41,0.83,242.6,59.99,14.0
26,201709120822,30.099,649,32.45,1.09,243.1,59.98,14.0
27,201709120826,33.396,192,32.41,1.1,243.9,59.98,14.0
28,201709120826,34.714,49,32.41,1.14,243.1,60.0,14.0
29,201709120827,36.304,56,32.85,1.16,243.4,60.02,14.0
30,201709120828,37.449,49,32.83,1.16,243.1,60.01,15.0
31,201709120829,36.531,49,32.84,1.16,243.0,60.01,15.0
