,date_time,power,power_unknown,DCV,DCA,ACV,ACHZ,TMPI
0,201709120644,0.844,506,34.37,0.22,241.9,59.99,10.0
1,201709120646,0.961,154,34.63,0.22,241.8,59.98,10.0
2,201709120648,0.974,116,34.81,0.22,241.7,59.98,10.0
3,201709120649,1.015,65,34.94,0.22,241.6,59.97,10.0
4,201709120650,1.02,51,35.07,0.22,241.5,59.99,10.0
5,201709120651,1.019,54,35.17,0.22,241.0,59.99,10.0
6,201709120652,1.022,46,35.23,0.22,241.5,59.99,10.0
7,201709120653,1.02,51,35.34,0.22,241.2,59.99,10.0
8,201709120654,1.038,53,35.47,0.22,241.5,59.98,10.0
9,201709120655,1.083,48,35.55,0.22,241.3,59.99,10.0
10,201709120655,1.077,52,35.66,0.22,241.6,60.01,10.0
11,201709120700,1.113,302,36.17,0.22,244.3,59.99,10.0
12,201709120705,1.157,300,36.42,0.22,244.3,59.98,11.0
13,201709120710,1.205,303,36.55,0.22,245.1,59.99,11.0
14,201709120716,1.211,304,36.92,0.22,242.8,59.98,11.0
15,201709120721,1.243,301,36.98,0.22,242.7,60.01,11.0
16,201709120726,1.261,303,37.13,0.22,242.1,60.02,11.0
17,201709120731,1.26,304,37.29,0.22,242.4,59.99,11.0
18,201709120736,1.276,301,37.5,0.22,242.1,59.99,12.0
19,201709120741,1.32,303,37.58,0.22,242.4,60.0,12.0
20,201709120746,1.326,301,37.81,0.22,242.9,60.0,12.0
21,201709120752,1.337,347,37.82,0.22,242.7,60.03,12.0
22,201709120757,1.365,299,37.89,0.22,242.5,60.02,12.0
23,201709120802,1.379,301,38.08,0.22,241.4,59.99,12.0
24,201709120807,1.407,305,38.1,0.22,242.9,60.0,12.0
25,201709120812,1.379,301,38.1,0.22,242.6,59.99,13.0
26,201709120823,1.452,705,38.39,0.22,243.6,59.99,13.0
27,201709120826,1.493,136,38.44,0.22,243.7,59.99,13.0
28,201709120826,1.531,49,38.49,0.22,243.2,60.0,13.0
29,201709120827,1.5,56,38.5,0.22,243.2,60.02,13.0
30,201709120828,1.52,50,38.49,0.22,242.5,60.01,13.0
31,201709120829,1.479,48,38.49,0.22,242.8,60.01,13.0
32,201709120830,1.5,52,38.52,0.22,242.9,60.02,14.0
33,201709120831,1.509,53,38.56,0.22,243.1,60.01,14.0
34,201709120831,2.0,2,38.56,0.22,243.3,60.01,14.0
35,201709120836,1.505,303,38.6,0.22,244.0,60.01,14.0
36,201709120841,1.571,303,38.72,0.22,244.6,60.0,14.0
37,201709120846,1.588,301,38.79,0.22,244.4,60.01,14.0
38,201709120851,1.607,303,38.96,0.22,243.8,60.01,15.0
39,201709120856,1.603,302,39.01,0.22,244.4,60.02,15.0
40,201709120901,1.548,303,38.83,0.22,244.5,59.99,15.0
41,201709120906,1.517,302,38.79,0.22,244.2,60.01,15.0
42,201709120911,1.573,302,38.81,0.22,243.7,60.01,15.0
43,201709120928,53.098,996,33.97,3.02,245.9,59.99,18.0
44,201709120930,113.553,132,33.81,2.88,245.9,59.99,18.0
45,201709120931,90.813,48,33.64,2.51,245.6,59.98,19.0
46,201709120932,84.096,52,33.68,2.47,244.8,59.99,18.0
47,201709120932,80.38,50,33.74,2.44,244.7,59.98,19.0
48,201709120933,87.306,49,33.78,2.71,244.6,59.99,19.0
49,201709120934,95.712,52,33.76,2.73,244.9,59.99,19.0
50,201709120935,95.592,49,33.81,2.93,244.8,59.99,19.0
51,201709120935,85.333,3,33.82,2.98,245.2,59.99,19.0
52,201709120940,125.442,303,34.52,4.42,247.0,59.99,20.0
53,201709120945,129.637,303,33.55,5.2,246.8,60.0,21.0
54,201709120950,159.419,301,33.18,5.19,247.3,59.97,21.0
55,201709120955,171.564,303,32.78,5.34,247.3,59.98,23.0
56,201709121000,175.099,302,32.5,5.5,248.2,59.99,24.0
57,201709121005,178.079,303,32.22,5.64,248.4,60.02,25.0
58,201709121010,180.914,302,31.98,5.77,248.9,60.01,27.0
59,201709121015,184.063,304,31.85,5.94,248.9,60.01,28.0
60,201709121020,187.776,303,31.76,6.06,249.4,60.01,29.0
61,201709121025,191.854,301,31.53,6.24,249.0,60.01,31.0
62,201709121030,194.745,302,31.42,6.36,248.4,60.0,32.0
63,201709121035,198.109,302,31.31,6.5,248.0,60.0,33.0
64,201709121041,202.059,303,31.23,6.64,248.2,60.01,34.0
65,201709121046,205.192,302,31.07,6.8,249.1,59.99,35.0
66,201709121051,208.401,304,30.92,6.91,248.8,60.01,37.0
