Date/Time,Condition,current,power,voltage,,Condition,current,power,voltage
Mon Nov 25 13:41:40 2019,normal,0.73,69.83,95.16,,water,0.79,43.44,54.7
Mon Nov 25 13:41:41 2019,normal,0.73,69.74,95.18,,water,0.77,42.63,54.7
Mon Nov 25 13:41:42 2019,normal,0.73,69.69,95.15,,water,0.77,42.63,54.73
Mon Nov 25 13:41:43 2019,normal,0.73,69.69,95.17,,water,0.77,42.37,54.68
Mon Nov 25 13:41:44 2019,normal,0.73,69.69,95.17,,water,0.76,42.37,55.73
Mon Nov 25 13:41:45 2019,normal,0.72,69.42,95.18,,water,0.78,43.96,55.75
Mon Nov 25 13:41:46 2019,normal,0.73,69.61,95.17,,water,0.78,43.7,55.74
Mon Nov 25 13:41:47 2019,normal,0.73,69.88,94.49,,water,0.76,42.63,55.87
Mon Nov 25 13:41:48 2019,normal,0.73,69.42,94.46,,water,0.75,42.28,55.83
Mon Nov 25 13:41:49 2019,normal,0.74,69.88,94.14,,water,0.75,42.37,55.86
Mon Nov 25 13:41:50 2019,normal,0.74,69.83,94.14,,water,0.76,42.63,55.87
Mon Nov 25 13:41:51 2019,normal,0.73,69.34,93.78,,water,0.76,42.5,55.7
Mon Nov 25 13:41:52 2019,normal,0.74,69.74,93.8,,water,0.74,41.31,55.68
Mon Nov 25 13:41:53 2019,normal,0.73,69.07,93.43,,water,0.74,41.34,55.67
Mon Nov 25 13:41:54 2019,normal,0.74,69.88,94.15,,water,0.75,42.24,55.83
Mon Nov 25 13:41:55 2019,normal,0.74,69.88,94.16,,water,0.73,41.08,55.66
Mon Nov 25 13:41:56 2019,normal,0.73,69.61,94.13,,water,0.74,41.44,55.53
Mon Nov 25 13:41:57 2019,normal,0.77,72.38,93.94,,water,0.72,40.3,55.52
Mon Nov 25 13:41:58 2019,normal,0.73,69.29,94.14,,water,0.72,40.53,55.64
Mon Nov 25 13:41:59 2019,normal,0.73,69.61,94.5,,water,0.73,40.92,55.62
