Date/Time,Condition,current,power,voltage,,Condition,current,power,voltage
Mon Nov 25 13:35:35 2019,normal,0.83,59.09,71.01,,water,0.99,45.74,46.1
Mon Nov 25 13:35:36 2019,normal,0.83,59.58,71.25,,water,0.98,45.36,46.01
Mon Nov 25 13:35:37 2019,normal,0.83,60.3,72.3,,water,0.96,44.84,46.27
Mon Nov 25 13:35:38 2019,normal,0.81,60.21,74.09,,water,0.98,45.87,46.38
Mon Nov 25 13:35:39 2019,normal,0.83,63.61,75.81,,water,0.97,45.13,46.48
Mon Nov 25 13:35:40 2019,normal,0.83,65.32,77.82,,water,0.99,46.04,46.46
Mon Nov 25 13:35:41 2019,normal,0.83,65.86,78.85,,water,0.98,46.17,46.65
Mon Nov 25 13:35:42 2019,normal,0.83,66.94,79.92,,water,0.97,45.39,46.66
Mon Nov 25 13:35:43 2019,normal,0.82,68.07,82.12,,water,0.97,45.48,46.47
Mon Nov 25 13:35:45 2019,normal,0.83,68.74,82.15,,water,0.98,45.87,46.47
Mon Nov 25 13:35:46 2019,normal,0.83,68.58,82.15,,water,0.97,45.36,46.66
Mon Nov 25 13:35:47 2019,normal,0.83,70.74,84.51,,water,0.96,45.26,46.67
Mon Nov 25 13:35:48 2019,normal,0.83,72.27,86.41,,water,0.96,45.26,46.67
Mon Nov 25 13:35:49 2019,normal,0.83,72.73,87.03,,water,0.98,46.95,47.5
Mon Nov 25 13:35:50 2019,normal,0.82,73.73,89.28,,water,0.97,46.17,47.53
Mon Nov 25 13:35:51 2019,normal,0.82,73.73,89.62,,water,0.98,47.11,47.72
Mon Nov 25 13:35:52 2019,normal,0.82,73.6,89.63,,water,0.98,47.21,47.71
Mon Nov 25 13:35:53 2019,normal,0.82,73.79,89.01,,water,0.98,47.85,48.49
Mon Nov 25 13:35:54 2019,normal,0.82,73.46,89.01,,water,0.98,47.59,48.32
Mon Nov 25 13:35:55 2019,normal,0.82,73.79,89.04,,water,0.96,46.69,48.2
Mon Nov 25 13:35:56 2019,normal,0.82,73.84,89.08,,water,0.97,46.82,48.2
Mon Nov 25 13:35:57 2019,normal,0.83,74.25,89.1,,water,0.96,46.82,48.32
Mon Nov 25 13:35:58 2019,normal,0.83,73.98,89.08,,water,0.99,47.98,48.41
Mon Nov 25 13:35:59 2019,normal,0.82,73.9,89.1,,water,0.96,47.59,49.14
Mon Nov 25 13:36:00 2019,normal,0.83,74.25,89.12,,water,0.96,47.72,49.21
Mon Nov 25 13:36:01 2019,normal,0.83,74.25,89.12,,water,0.96,48.41,49.98
Mon Nov 25 13:36:02 2019,normal,0.83,73.98,89.13,,water,0.96,48.54,50.07
Mon Nov 25 13:36:03 2019,normal,0.82,73.98,89.79,,water,0.97,49.49,50.94
Mon Nov 25 13:36:04 2019,normal,0.79,71.35,89.73,,water,0.97,49.19,50.62
Mon Nov 25 13:36:05 2019,normal,0.82,74.03,90.13,,water,0.99,50.14,50.64
Mon Nov 25 13:36:06 2019,normal,0.82,74.03,90.16,,water,0.97,49.71,50.73
Mon Nov 25 13:36:07 2019,normal,0.82,74.3,89.84,,water,0.98,50.01,50.85
Mon Nov 25 13:36:08 2019,normal,0.82,74.17,89.53,,water,0.98,50.1,50.85
Mon Nov 25 13:36:09 2019,normal,0.82,74.17,89.86,,water,0.96,49.19,50.73
Mon Nov 25 13:36:10 2019,normal,0.82,74.22,89.88,,water,0.98,50.14,50.74
Mon Nov 25 13:36:11 2019,normal,0.82,73.95,89.87,,water,0.98,50.14,50.95
Mon Nov 25 13:36:12 2019,normal,0.82,74.17,89.9,,water,0.97,50.7,51.87
Mon Nov 25 13:36:13 2019,normal,0.82,74.17,89.89,,water,0.96,49.88,51.64
Mon Nov 25 13:36:14 2019,normal,0.82,73.95,89.92,,water,0.1,4.36,43.09
Mon Nov 25 13:36:15 2019,normal,0.82,74.22,89.93,,water,0.12,5.51,43.79
Mon Nov 25 13:36:16 2019,normal,0.82,74.22,89.92,,water,0.58,29.82,50.98
Mon Nov 25 13:36:17 2019,normal,0.82,74.09,89.94,,water,0.98,48.76,49.3
Mon Nov 25 13:36:18 2019,normal,0.82,73.95,89.95,,water,0.97,47.72,49.2
Mon Nov 25 13:36:19 2019,normal,0.83,74.41,89.63,,water,0.96,47.63,49.3
Mon Nov 25 13:36:20 2019,normal,0.83,74.22,89.33,,water,0.96,47.59,49.32
Mon Nov 25 13:36:21 2019,normal,0.83,74.28,89.34,,water,0.96,47.5,49.32
Mon Nov 25 13:36:22 2019,normal,0.83,74.14,89.32,,water,0.96,47.59,49.31
Mon Nov 25 13:36:23 2019,normal,0.82,74.41,89.68,,water,0.96,47.47,49.11
Mon Nov 25 13:36:24 2019,normal,0.82,74.28,89.66,,water,0.96,47.37,49.07
Mon Nov 25 13:36:25 2019,normal,0.82,74.28,89.68,,water,0.98,49.19,49.95
Mon Nov 25 13:36:26 2019,normal,0.82,74.01,89.65,,water,0.96,48.15,50.06
Mon Nov 25 13:36:27 2019,normal,0.82,74.28,89.7,,water,0.96,48.28,50.04
Mon Nov 25 13:36:28 2019,normal,0.82,74.14,89.68,,water,0.98,49.32,50.08
Mon Nov 25 13:36:29 2019,normal,0.82,74.33,89.69,,water,0.98,49.32,50.17
Mon Nov 25 13:36:30 2019,normal,0.82,74.2,89.68,,water,0.97,48.93,50.08
Mon Nov 25 13:36:31 2019,normal,0.82,74.06,89.69,,water,0.95,47.98,50.07
Mon Nov 25 13:36:32 2019,normal,0.82,74.06,89.7,,water,0.96,48.15,50.07
Mon Nov 25 13:36:33 2019,normal,0.82,73.92,89.71,,water,0.97,49.88,50.94
Mon Nov 25 13:36:34 2019,normal,0.82,74.2,89.72,,water,0.97,50.01,51.05
Mon Nov 25 13:36:35 2019,normal,0.82,74.2,89.71,,water,0.97,49.97,51.07
Mon Nov 25 13:36:36 2019,normal,0.82,74.06,89.71,,water,0.96,49.19,51.18
Mon Nov 25 13:36:37 2019,normal,0.82,73.79,89.72,,water,0.95,49.1,51.15
Mon Nov 25 13:36:38 2019,normal,0.82,73.79,89.72,,water,0.95,49.1,51.18
Mon Nov 25 13:36:39 2019,normal,0.82,74.17,89.75,,water,0.97,49.97,51.18
Mon Nov 25 13:36:40 2019,normal,0.82,74.06,89.73,,water,0.97,49.84,51.16
Mon Nov 25 13:36:41 2019,normal,0.82,74.12,89.74,,water,0.95,48.97,51.19
Mon Nov 25 13:36:42 2019,normal,0.82,73.98,89.73,,water,0.97,49.88,51.17
Mon Nov 25 13:36:43 2019,normal,0.82,73.79,89.75,,water,0.97,49.75,51.19
Mon Nov 25 13:36:44 2019,normal,0.82,74.06,90.08,,water,0.32,16.08,50.27
Mon Nov 25 13:36:45 2019,normal,0.82,74.12,90.08,,water,0.95,49.32,51.56
Mon Nov 25 13:36:46 2019,normal,0.81,73.84,90.07,,water,0.98,50.01,50.93
Mon Nov 25 13:36:47 2019,normal,0.81,73.44,90.07,,water,0.96,49.58,51.27
Mon Nov 25 13:36:48 2019,normal,0.81,73.65,90.06,,water,0.96,49.32,51.03
Mon Nov 25 13:36:49 2019,normal,0.81,73.84,90.09,,water,0.95,48.45,50.94
Mon Nov 25 13:36:50 2019,normal,0.81,73.84,90.09,,water,0.95,47.89,50.41
Mon Nov 25 13:36:51 2019,normal,0.82,73.98,90.09,,water,0.94,47.89,50.5
Mon Nov 25 13:36:52 2019,normal,0.81,73.84,90.09,,water,0.94,47.89,50.61
Mon Nov 25 13:36:53 2019,normal,0.81,73.84,90.11,,water,0.95,48.41,50.6
Mon Nov 25 13:36:54 2019,normal,0.81,73.71,90.08,,water,0.94,47.5,50.38
Mon Nov 25 13:36:55 2019,normal,0.81,73.57,90.09,,water,0.95,48.15,50.5
Mon Nov 25 13:36:56 2019,normal,0.81,73.76,90.11,,water,0.94,48.41,51.36
Mon Nov 25 13:36:57 2019,normal,0.81,73.44,90.09,,water,0.95,49.19,51.48
Mon Nov 25 13:36:58 2019,normal,0.81,73.76,90.09,,water,0.95,48.15,50.59
Mon Nov 25 13:36:59 2019,normal,0.82,73.95,90.11,,water,0.92,46.98,50.56
Mon Nov 25 13:37:00 2019,normal,0.81,73.84,90.11,,water,0.95,48.28,50.6
Mon Nov 25 13:37:01 2019,normal,0.82,74.03,90.14,,water,0.95,48.15,50.49
Mon Nov 25 13:37:02 2019,normal,0.81,73.76,90.13,,water,0.95,48.28,50.39
Mon Nov 25 13:37:03 2019,normal,0.81,73.63,90.12,,water,0.95,48.02,50.28
Mon Nov 25 13:37:04 2019,normal,0.81,73.35,90.11,,water,0.94,47.54,50.27
Mon Nov 25 13:37:05 2019,normal,0.82,73.9,90.12,,water,0.93,46.98,50.39
Mon Nov 25 13:37:06 2019,normal,0.81,73.44,90.09,,water,0.93,46.98,50.36
Mon Nov 25 13:37:07 2019,normal,0.81,73.49,90.12,,water,0.93,47.76,51.02
Mon Nov 25 13:37:08 2019,normal,0.81,73.76,90.12,,water,0.93,47.41,50.92
Mon Nov 25 13:37:09 2019,normal,0.81,73.76,90.14,,water,0.94,48.28,50.91
Mon Nov 25 13:37:10 2019,normal,0.81,73.35,90.1,,water,0.94,48.02,50.82
Mon Nov 25 13:37:11 2019,normal,0.8,73.16,90.42,,water,0.95,48.32,50.82
Mon Nov 25 13:37:12 2019,normal,0.81,73.3,90.42,,water,0.94,48.02,50.91
Mon Nov 25 13:37:13 2019,normal,0.8,72.48,90.07,,water,0.94,48.15,50.93
Mon Nov 25 13:37:14 2019,normal,0.8,72.94,90.09,,water,0.93,47.76,50.91
Mon Nov 25 13:37:15 2019,normal,0.8,72.76,90.07,,water,0.92,46.85,50.81
Mon Nov 25 13:37:16 2019,normal,0.8,72.89,90.08,,water,0.94,48.28,51.14
Mon Nov 25 13:37:17 2019,normal,0.8,72.21,90.07,,water,0.92,47.41,51.13
Mon Nov 25 13:37:18 2019,normal,0.8,72.21,90.06,,water,0.92,47.41,51.13
Mon Nov 25 13:37:19 2019,normal,0.76,69.58,91.25,,water,0.92,47.15,51.03
Mon Nov 25 13:37:20 2019,normal,0.77,71.86,93.01,,water,0.94,48.32,51.04
Mon Nov 25 13:37:21 2019,normal,0.77,71.99,92.71,,water,0.94,48.58,51.15
Mon Nov 25 13:37:22 2019,normal,0.77,72.13,92.72,,water,0.93,47.67,51.15
Mon Nov 25 13:37:23 2019,normal,0.77,72.21,92.7,,water,0.95,48.8,51.25
Mon Nov 25 13:37:24 2019,normal,0.77,72.32,92.73,,water,0.93,47.67,51.25
Mon Nov 25 13:37:25 2019,normal,0.77,72.21,92.73,,water,0.94,48.45,51.26
Mon Nov 25 13:37:26 2019,normal,0.77,72.21,92.72,,water,0.95,48.71,51.26
Mon Nov 25 13:37:27 2019,normal,0.77,72.13,92.71,,water,0.94,48.41,51.49
Mon Nov 25 13:37:28 2019,normal,0.77,72.08,92.73,,water,0.94,48.06,50.6
Mon Nov 25 13:37:29 2019,normal,0.77,72.26,92.75,,water,0.93,47.24,50.6
Mon Nov 25 13:37:30 2019,normal,0.77,71.94,92.73,,water,0.94,47.8,50.4
Mon Nov 25 13:37:31 2019,normal,0.77,71.94,92.72,,water,0.93,47.11,50.38
Mon Nov 25 13:37:32 2019,normal,0.77,71.58,92.71,,water,0.95,47.89,50.38
Mon Nov 25 13:37:33 2019,normal,0.77,71.8,92.69,,water,0.93,47.11,50.37
Mon Nov 25 13:37:34 2019,normal,0.77,71.67,92.69,,water,0.94,47.37,50.36
Mon Nov 25 13:37:35 2019,normal,0.77,71.53,92.03,,water,0.94,47.89,50.6
Mon Nov 25 13:37:37 2019,normal,0.77,71.12,91.99,,water,0.95,48.19,50.71
Mon Nov 25 13:37:38 2019,normal,0.77,71.67,93.05,,water,0.95,48.41,50.71
Mon Nov 25 13:37:39 2019,normal,0.76,71.26,93.01,,water,0.93,47.37,50.7
Mon Nov 25 13:37:40 2019,normal,0.76,71.53,93.03,,water,0.94,48.32,51.07
Mon Nov 25 13:37:41 2019,normal,0.76,71.58,93.04,,water,0.93,47.54,51.06
Mon Nov 25 13:37:42 2019,normal,0.76,71.72,93.4,,water,0.93,47.41,50.94
Mon Nov 25 13:37:43 2019,normal,0.77,71.8,93.03,,water,0.94,48.06,50.9
Mon Nov 25 13:37:44 2019,normal,0.77,71.67,93.06,,water,0.93,47.5,50.8
Mon Nov 25 13:37:45 2019,normal,0.77,71.67,93.04,,water,0.92,47.41,51.04
Mon Nov 25 13:37:46 2019,normal,0.76,71.26,93.37,,water,0.94,48.28,51.04
Mon Nov 25 13:37:47 2019,normal,0.77,71.67,93.02,,water,0.92,47.41,51.04
Mon Nov 25 13:37:48 2019,normal,0.76,71.4,93.01,,water,0.94,48.28,51.05
Mon Nov 25 13:37:49 2019,normal,0.76,71.4,93.04,,water,0.94,48.15,51.04
Mon Nov 25 13:37:50 2019,normal,0.76,71.4,93.05,,water,0.94,48.06,51.04
Mon Nov 25 13:37:51 2019,normal,0.76,71.4,93.01,,water,0.92,47.15,51.07
Mon Nov 25 13:37:52 2019,normal,0.76,71.12,93.01,,water,0.92,47.11,51.04
Mon Nov 25 13:37:53 2019,normal,0.76,70.72,92.33,,water,0.94,48.54,51.16
Mon Nov 25 13:37:54 2019,normal,0.74,70.31,94.35,,water,0.92,47.67,51.38
Mon Nov 25 13:37:55 2019,normal,0.75,70.99,93.71,,water,0.94,48.45,51.36
Mon Nov 25 13:37:56 2019,normal,0.76,70.99,93.35,,water,0.92,47.76,51.37
Mon Nov 25 13:37:57 2019,normal,0.76,70.99,93.35,,water,0.93,48.84,52.04
Mon Nov 25 13:37:58 2019,normal,0.75,70.31,93.31,,water,0.93,48.54,52.18
Mon Nov 25 13:37:59 2019,normal,0.75,69.98,93.27,,water,0.92,47.67,51.27
Mon Nov 25 13:38:00 2019,normal,0.74,69.63,92.93,,water,0.92,48.45,52.18
Mon Nov 25 13:38:01 2019,normal,0.74,69.9,93.98,,water,0.95,49.62,52.17
Mon Nov 25 13:38:02 2019,normal,0.74,70.17,93.98,,water,0.94,50.18,53.12
Mon Nov 25 13:38:03 2019,normal,0.75,70.12,93.29,,water,0.92,49.36,53.26
Mon Nov 25 13:38:04 2019,normal,0.75,70.58,92.98,,water,0.94,50.4,53.26
Mon Nov 25 13:38:05 2019,normal,0.75,69.44,92.59,,water,0.93,49.92,53.62
Mon Nov 25 13:38:06 2019,normal,0.74,69.36,92.91,,water,0.94,50.92,53.63
Mon Nov 25 13:38:07 2019,normal,0.74,69.98,94.01,,water,0.94,50.57,53.38
Mon Nov 25 13:38:08 2019,normal,0.74,69.76,93.98,,water,0.93,49.88,53.4
Mon Nov 25 13:38:09 2019,normal,0.73,69.44,94.65,,water,0.95,50.83,53.4
Mon Nov 25 13:38:10 2019,normal,0.75,69.3,91.56,,water,0.93,50.05,53.4
Mon Nov 25 13:38:11 2019,normal,0.71,66.99,94.2,,water,0.95,50.96,53.51
Mon Nov 25 13:38:12 2019,normal,0.74,69.85,94.31,,water,0.93,50.83,54.4
Mon Nov 25 13:38:13 2019,normal,0.74,69.9,94.31,,water,0.94,51.48,54.41
