,date_time,power,power_unknown,DCV,DCA,ACV,ACHZ,TMPI
0,201709120641,0.812,382,31.68,0.1,242.4,60.01,11.0
1,201709120646,1.749,339,31.68,0.11,241.4,59.99,11.0
2,201709120648,2.236,127,31.66,0.12,241.9,59.98,11.0
3,201709120649,2.485,66,31.81,0.12,241.7,59.97,11.0
4,201709120650,2.725,51,31.69,0.12,241.7,59.99,11.0
5,201709120651,2.925,53,31.85,0.12,240.5,59.99,11.0
6,201709120652,3.085,47,31.77,0.13,241.7,59.99,11.0
7,201709120653,3.25,52,31.79,0.13,241.3,59.99,11.0
8,201709120654,3.471,51,31.9,0.14,241.4,59.99,11.0
9,201709120654,3.796,49,31.91,0.14,241.6,59.99,11.0
10,201709120655,3.943,53,31.84,0.14,241.5,60.01,11.0
11,201709120700,4.87,300,31.22,0.18,244.7,59.99,11.0
12,201709120705,6.12,301,31.27,0.21,244.5,59.99,11.0
13,201709120710,7.22,304,31.24,0.24,245.1,59.99,11.0
14,201709120715,8.568,303,31.56,0.31,243.7,59.98,12.0
15,201709120721,9.974,302,31.64,0.33,242.8,60.01,12.0
16,201709120726,11.083,303,31.76,0.37,241.4,60.02,12.0
17,201709120731,12.166,302,31.95,0.41,242.4,59.99,12.0
18,201709120736,14.169,302,32.11,0.48,242.5,59.99,12.0
19,201709120741,14.836,304,32.25,0.51,242.9,60.0,12.0
20,201709120746,18.294,299,32.42,0.6,243.2,60.01,12.0
21,201709120751,19.675,348,32.55,0.64,242.8,60.03,13.0
22,201709120757,20.833,300,32.58,0.68,242.2,60.02,13.0
23,201709120801,22.687,300,32.78,0.77,241.7,59.99,13.0
24,201709120807,25.925,306,32.76,0.8,243.6,59.99,14.0
25,201709120812,25.847,301,32.77,0.81,243.0,59.99,14.0
26,201709120823,30.547,686,32.76,1.06,244.3,59.98,14.0
27,201709120826,33.697,155,32.77,1.09,243.4,59.99,14.0
28,201709120826,35.208,48,33.01,1.14,244.3,60.0,14.0
29,201709120827,36.804,56,33.02,1.15,243.2,60.02,14.0
30,201709120828,36.0,52,33.03,1.14,242.0,60.0,15.0
31,201709120829,36.5,46,33.01,1.16,242.9,60.0,15.0
32,201709120830,37.442,52,33.01,1.19,243.7,60.02,15.0
33,201709120831,37.907,54,33.02,1.23,244.4,60.0,14.0
34,201709120832,39.413,46,32.99,1.24,243.0,59.99,14.0
35,201709120837,40.575,306,32.96,1.34,244.1,60.01,15.0
36,201709120841,42.859,256,33.29,1.45,244.5,60.0,15.0
37,201709120846,50.037,300,33.53,1.6,245.5,60.01,15.0
38,201709120851,54.611,303,33.55,1.85,244.5,60.01,16.0
39,201709120856,61.733,303,33.56,1.99,245.6,60.01,16.0
40,201709120901,63.169,301,33.48,1.93,245.2,59.98,17.0
41,201709120906,59.234,304,33.47,1.86,245.2,60.02,17.0
42,201709120911,59.623,302,33.45,1.86,244.2,60.01,17.0
43,201709120927,75.706,977,33.97,3.05,245.9,60.0,19.0
44,201709120930,111.603,151,33.77,2.91,246.5,59.99,19.0
45,201709120931,91.957,46,33.63,2.58,246.0,59.98,19.0
46,201709120932,85.094,53,33.61,2.52,245.1,59.99,19.0
47,201709120932,81.275,51,33.7,2.5,245.1,59.99,19.0
48,201709120933,88.213,47,33.71,2.73,245.6,60.0,19.0
49,201709120934,93.698,53,33.7,2.77,245.5,59.99,19.0
50,201709120935,94.16,50,33.77,2.95,245.7,59.99,20.0
51,201709120936,113.957,47,33.9,3.63,246.4,59.97,20.0
52,201709120941,122.814,306,33.81,3.63,246.4,59.97,20.0
53,201709120945,134.78,255,33.66,5.18,247.5,60.0,21.0
54,201709120950,154.409,301,33.39,5.17,248.2,59.98,22.0
55,201709120955,169.531,303,33.0,5.3,248.3,59.98,23.0
56,201709121000,171.924,303,32.68,5.45,248.9,59.99,24.0
57,201709121005,175.209,301,32.42,5.6,249.0,60.01,25.0
58,201709121010,177.73,304,32.2,5.74,249.7,60.01,26.0
59,201709121015,181.622,304,32.12,5.9,249.7,60.01,27.0
60,201709121020,185.748,301,31.98,6.02,250.4,60.01,28.0
61,201709121025,188.558,303,31.92,6.19,249.5,60.0,29.0
62,201709121030,193.331,302,31.79,6.31,249.5,60.0,30.0
63,201709121035,196.133,300,31.6,6.45,248.8,59.99,31.0
64,201709121040,199.53,304,31.49,6.59,249.1,60.01,32.0
