,date_time,power,power_unknown,DCV,DCA,ACV,ACHZ,TMPI
0,201709120640,0.907,225,29.37,0.06,242.2,60.0,10.0
1,201709120643,1.482,170,29.57,0.07,241.6,60.01,10.0
2,201709120649,2.061,363,30.2,0.09,241.6,59.97,10.0
3,201709120650,2.633,49,30.29,0.1,241.6,59.99,10.0
4,201709120651,2.804,56,30.45,0.11,241.6,59.99,10.0
5,201709120651,3.667,3,30.39,0.11,241.6,59.99,10.0
6,201709120652,2.957,47,30.52,0.11,241.7,59.99,10.0
7,201709120653,3.212,52,30.66,0.12,241.3,59.99,10.0
8,201709120654,3.42,50,30.68,0.13,241.5,59.99,10.0
9,201709120654,3.694,49,30.83,0.14,241.5,59.99,10.0
10,201709120655,3.849,53,30.92,0.14,241.7,60.0,10.0
11,201709120700,4.764,301,31.16,0.19,244.4,59.99,10.0
12,201709120705,6.05,300,31.42,0.22,244.6,59.99,10.0
13,201709120710,7.148,304,31.51,0.24,245.2,59.99,11.0
14,201709120715,8.424,304,31.7,0.31,243.1,59.99,11.0
15,201709120720,9.847,301,31.86,0.33,241.9,60.02,11.0
16,201709120725,10.983,303,32.01,0.37,241.6,60.02,11.0
17,201709120731,12.0,304,32.09,0.41,242.2,59.98,11.0
18,201709120736,14.007,300,32.31,0.48,242.7,60.0,11.0
19,201709120741,14.684,304,32.39,0.5,242.3,60.0,11.0
20,201709120746,18.027,300,32.62,0.6,242.9,60.0,12.0
21,201709120751,19.484,347,32.69,0.63,242.8,60.02,12.0
22,201709120756,20.623,300,32.7,0.68,243.2,60.02,12.0
23,201709120801,22.449,301,32.93,0.76,241.9,60.0,12.0
24,201709120806,25.789,304,32.89,0.8,242.3,59.99,12.0
25,201709120811,25.578,303,32.91,0.81,243.0,60.0,13.0
26,201709120822,30.05,638,32.93,1.07,243.3,59.98,13.0
27,201709120826,33.475,202,32.92,1.09,243.9,59.98,14.0
28,201709120826,34.449,49,33.17,1.12,243.4,60.0,14.0
29,201709120827,36.073,55,33.16,1.14,243.4,60.02,13.0
30,201709120828,36.02,51,33.15,1.13,243.3,60.01,13.0
31,201709120829,35.896,48,33.17,1.14,243.0,60.01,13.0
32,201709120830,36.78,50,33.14,1.17,243.2,60.02,14.0
33,201709120831,37.759,54,33.15,1.21,243.1,60.0,14.0
34,201709120831,38.667,48,33.16,1.23,242.9,60.0,14.0
35,201709120837,40.161,305,33.1,1.32,244.6,60.0,14.0
36,201709120842,43.169,301,33.36,1.46,244.8,60.01,14.0
37,201709120847,50.306,301,33.64,1.61,244.3,60.02,15.0
38,201709120852,55.395,304,33.66,1.87,244.8,60.0,15.0
39,201709120857,62.152,302,33.64,1.99,243.6,60.03,15.0
40,201709120902,62.382,301,33.52,1.88,244.9,59.99,16.0
41,201709120906,58.607,257,33.51,1.83,244.2,60.01,16.0
42,201709120911,59.069,304,33.5,1.84,243.9,60.01,17.0
43,201709120916,61.141,319,33.52,1.95,244.6,59.99,17.0
44,201709120926,81.216,607,33.99,2.9,246.0,60.01,18.0
45,201709120930,109.812,202,33.96,3.04,246.1,60.0,18.0
46,201709120931,94.383,47,33.82,2.58,245.7,59.97,18.0
47,201709120931,86.451,51,33.79,2.5,245.5,59.99,19.0
48,201709120932,83.196,51,33.77,2.47,245.5,59.99,19.0
49,201709120933,85.125,48,33.87,2.69,245.1,59.99,18.0
50,201709120934,94.538,52,33.91,2.79,245.4,59.99,18.0
51,201709120935,94.804,51,33.9,2.88,245.8,60.0,19.0
52,201709120936,111.872,47,34.01,3.5,246.1,59.98,19.0
53,201709120941,123.803,304,33.81,3.57,246.3,59.98,19.0
54,201709120946,141.026,302,33.81,4.7,247.7,60.0,20.0
55,201709120951,155.934,301,33.47,5.16,248.0,59.98,21.0
56,201709120956,171.167,305,33.09,5.31,248.4,59.98,22.0
57,201709121001,174.887,301,32.76,5.5,249.0,60.03,23.0
58,201709121006,177.221,303,32.4,5.64,249.4,60.03,24.0
59,201709121010,180.047,255,32.21,5.74,249.5,60.01,25.0
60,201709121015,182.562,306,32.06,5.9,249.4,60.01,26.0
61,201709121020,186.94,300,31.91,6.03,250.0,60.01,27.0
62,201709121025,189.629,302,31.74,6.19,249.3,60.0,28.0
63,201709121030,193.832,303,31.6,6.32,249.3,59.99,30.0
64,201709121035,196.249,301,31.45,6.46,248.2,59.99,31.0
65,201709121040,199.851,303,31.35,6.61,248.8,60.0,32.0
66,201709121045,203.488,303,31.23,6.75,249.5,59.99,32.0
67,201709121050,206.791,302,31.14,6.87,249.6,60.01,33.0
