,date_time,power,power_unknown,DCV,DCA,ACV,ACHZ,TMPI
0,201709120640,0.031,227,12.32,0.1,242.3,59.99,10.0
1,201709120643,0.0,147,12.34,0.11,242.0,59.98,10.0
2,201709120649,1.323,387,31.41,0.12,241.5,59.98,11.0
3,201709120650,2.615,52,31.5,0.12,241.9,59.98,11.0
4,201709120651,2.855,55,31.47,0.13,241.4,59.99,11.0
5,201709120652,3.0,49,31.41,0.13,241.7,59.99,11.0
6,201709120652,3.188,48,31.45,0.13,241.2,60.0,11.0
7,201709120653,3.327,52,31.43,0.14,242.0,59.99,11.0
8,201709120654,3.686,51,31.33,0.14,241.6,60.0,11.0
9,201709120655,3.917,48,31.3,0.14,241.5,60.0,11.0
10,201709120656,4.115,52,31.1,0.15,241.6,60.0,11.0
11,201709120700,4.824,256,30.89,0.2,244.5,59.99,11.0
12,201709120705,6.027,300,31.11,0.23,244.0,59.99,11.0
13,201709120710,7.122,304,31.13,0.25,245.0,60.0,11.0
14,201709120715,8.413,303,31.36,0.33,242.9,59.98,11.0
15,201709120720,9.894,301,31.4,0.35,241.9,60.02,11.0
16,201709120725,10.954,304,31.61,0.39,241.4,60.01,12.0
17,201709120730,12.03,303,31.75,0.42,242.8,59.98,12.0
18,201709120735,13.967,301,31.98,0.51,242.8,60.0,12.0
19,201709120740,14.717,304,31.97,0.52,242.0,59.99,12.0
20,201709120745,17.963,300,32.29,0.61,243.0,60.01,12.0
21,201709120751,19.676,346,32.27,0.66,242.6,60.02,13.0
22,201709120756,20.578,301,32.27,0.69,243.2,60.03,13.0
23,201709120801,22.389,301,32.46,0.78,241.7,60.0,13.0
24,201709120806,25.747,304,32.44,0.82,242.9,59.99,14.0
25,201709120811,25.666,302,32.45,0.84,242.8,60.0,13.0
26,201709120821,29.635,595,32.45,1.11,242.7,59.98,14.0
27,201709120825,33.443,246,32.42,1.11,243.7,59.98,14.0
28,201709120826,34.333,48,32.71,1.16,242.6,59.99,15.0
29,201709120827,36.643,56,32.85,1.17,243.5,60.02,15.0
30,201709120828,36.98,50,32.85,1.18,243.3,60.01,14.0
31,201709120829,36.917,48,32.87,1.18,243.1,60.01,14.0
32,201709120830,36.647,51,32.85,1.2,243.2,60.01,15.0
33,201709120830,38.5,54,32.87,1.24,243.0,60.0,15.0
34,201709120831,39.208,48,32.89,1.26,242.9,60.01,15.0
35,201709120836,40.934,305,32.85,1.37,244.2,60.01,15.0
36,201709120841,43.641,301,32.89,1.49,244.1,60.01,15.0
37,201709120846,49.327,300,32.86,1.63,244.7,60.02,16.0
38,201709120851,54.095,305,33.21,1.9,244.4,60.01,16.0
39,201709120856,61.596,302,33.18,2.02,244.3,60.03,17.0
40,201709120902,62.18,300,33.09,1.92,244.1,59.99,17.0
41,201709120907,58.161,305,33.07,1.9,244.6,60.02,17.0
42,201709120912,58.667,300,33.06,1.89,244.6,60.0,18.0
43,201709120926,72.552,840,33.48,2.74,245.5,60.0,19.0
44,201709120930,105.143,244,33.49,3.18,246.4,60.01,19.0
45,201709120930,96.191,47,33.36,2.66,245.9,59.98,20.0
46,201709120931,84.596,52,33.29,2.54,245.3,59.99,20.0
47,201709120932,81.7,50,33.25,2.5,245.4,60.0,20.0
48,201709120933,81.204,49,33.39,2.65,245.4,59.99,20.0
49,201709120934,92.627,51,33.41,2.86,245.2,60.0,20.0
50,201709120935,93.549,51,33.41,2.84,244.9,60.0,20.0
51,201709120935,104.583,48,33.58,3.64,245.9,59.99,20.0
52,201709120940,122.082,304,33.34,3.34,246.1,59.98,21.0
53,201709120946,133.222,302,33.25,5.19,247.4,60.01,22.0
54,201709120951,153.507,300,32.89,5.17,247.8,59.98,22.0
55,201709120956,167.134,305,32.44,5.33,247.9,59.98,23.0
56,201709121001,169.546,302,32.09,5.51,249.3,60.03,24.0
57,201709121006,172.729,303,31.82,5.63,249.3,60.02,25.0
58,201709121011,175.947,302,31.57,5.77,249.1,60.0,27.0
59,201709121016,178.571,303,31.47,5.93,249.6,60.0,28.0
60,201709121021,182.427,302,31.32,6.05,249.8,60.02,29.0
61,201709121026,185.678,304,31.14,6.23,249.8,60.02,30.0
62,201709121031,189.48,300,30.99,6.34,249.4,60.0,31.0
63,201709121036,191.561,301,30.88,6.47,248.6,60.0,32.0
64,201709121040,195.603,257,30.79,6.61,248.6,60.01,33.0
65,201709121045,198.766,303,30.65,6.75,249.5,60.0,35.0
66,201709121050,201.497,302,30.55,6.87,249.6,60.0,36.0
67,201709121055,204.421,302,30.46,6.98,248.1,59.99,37.0
68,201709121100,206.457,304,30.38,7.07,248.3,60.0,37.0
69,201709121105,207.934,301,30.25,7.13,248.6,59.98,38.0
70,201709121110,209.789,303,30.18,7.24,247.8,59.97,39.0
71,201709121115,212.356,303,30.13,7.36,247.9,60.02,40.0
72,201709121121,215.384,302,30.01,7.49,247.9,60.01,41.0
73,201709121126,218.125,319,29.9,7.62,247.8,60.0,42.0
74,201709121131,219.786,285,29.82,7.68,248.5,60.01,43.0
75,201709121136,221.218,303,29.73,7.76,248.7,60.02,43.0
76,201709121141,222.47,304,29.66,7.82,249.2,59.98,44.0
77,201709121146,224.57,300,29.55,7.96,248.5,59.99,45.0
78,201709121151,226.467,304,29.38,8.04,248.8,60.02,46.0
79,201709121156,226.205,302,29.34,8.09,248.6,60.01,46.0
80,201709121201,228.924,302,29.25,8.18,249.0,60.02,47.0
81,201709121206,230.94,302,29.17,8.23,249.0,60.0,48.0
82,201709121211,231.61,305,29.06,8.34,248.8,59.99,49.0
83,201709121216,233.297,300,29.0,8.41,248.6,60.02,49.0
84,201709121221,234.059,303,28.98,8.43,249.0,60.01,50.0
85,201709121226,235.904,303,28.85,8.48,248.9,60.0,51.0
86,201709121231,233.784,301,28.79,8.47,249.7,60.0,52.0
87,201709121236,233.017,303,28.8,8.5,249.2,60.0,52.0
88,201709121241,234.905,305,28.73,8.5,249.1,59.98,53.0
89,201709121246,237.027,299,28.71,8.63,249.0,59.98,53.0
90,201709121251,237.623,302,28.58,8.67,248.9,60.01,54.0
91,201709121256,237.272,305,28.61,8.61,248.9,59.97,55.0
92,201709121301,237.231,299,28.64,8.59,249.0,59.98,55.0
93,201709121306,235.154,305,28.59,8.61,249.2,60.0,56.0
94,201709121311,236.0,303,28.6,8.64,250.0,59.99,56.0
95,201709121316,236.6,255,28.58,8.63,249.0,60.0,57.0
96,201709121321,236.598,306,28.56,8.66,249.9,60.0,57.0
97,201709121326,235.407,300,28.5,8.6,249.9,60.01,57.0
98,201709121331,235.834,301,28.6,8.52,249.7,59.99,58.0
99,201709121336,234.313,304,28.68,8.55,249.7,60.01,58.0
100,201709121341,233.868,302,28.65,8.49,249.2,59.98,58.0
101,201709121346,234.364,302,28.65,8.55,249.3,59.99,58.0
102,201709121351,232.98,303,28.62,8.35,250.1,60.04,59.0
103,201709121356,230.748,302,28.67,8.39,249.8,60.02,59.0
104,201709121401,231.169,302,28.61,8.39,248.6,60.03,59.0
105,201709121406,229.188,303,28.66,8.36,249.4,60.0,59.0
106,201709121411,227.967,303,28.68,8.22,249.4,60.0,59.0
107,201709121416,225.507,302,28.71,8.12,249.4,60.0,59.0
108,201709121421,224.257,303,28.72,8.13,249.0,60.01,59.0
109,201709121426,221.483,302,28.75,7.98,247.8,60.0,59.0
110,201709121431,219.15,301,28.71,7.9,248.8,59.98,59.0
111,201709121436,217.539,304,28.77,7.83,248.7,59.99,58.0
112,201709121441,215.891,303,28.8,7.79,247.9,60.01,58.0
113,201709121446,215.046,302,28.79,7.75,247.4,60.01,58.0
114,201709121451,213.142,302,28.82,7.65,246.8,60.01,58.0
115,201709121456,210.358,302,28.91,7.49,247.8,60.0,58.0
116,201709121502,204.758,302,29.01,7.16,247.6,60.0,58.0
117,201709121507,199.987,305,29.02,7.09,248.1,59.98,57.0
118,201709121512,197.99,302,29.1,7.02,247.7,60.0,57.0
119,201709121517,186.558,301,29.22,6.57,247.4,59.98,57.0
120,201709121522,182.349,341,29.35,6.43,247.6,60.01,56.0
121,201709121527,187.958,265,29.38,6.37,246.5,59.99,56.0
122,201709121532,179.083,301,29.46,6.57,248.2,59.99,55.0
123,201709121537,183.872,305,29.48,6.42,247.8,59.97,55.0
124,201709121542,178.781,301,29.57,6.38,247.9,60.01,55.0
125,201709121547,179.629,302,29.65,6.16,247.6,60.01,54.0
126,201709121551,173.121,257,29.68,5.89,247.9,60.03,54.0
127,201709121556,167.887,301,29.7,5.84,247.0,60.01,54.0
128,201709121601,162.898,304,29.8,5.54,247.1,60.03,53.0
129,201709121606,154.719,303,29.86,5.17,246.1,60.01,53.0
130,201709121611,147.309,301,29.89,4.72,245.4,59.98,52.0
131,201709121616,142.122,303,30.03,4.83,245.6,60.02,52.0
132,201709121621,138.97,303,30.09,4.66,245.0,60.01,51.0
133,201709121626,132.687,300,30.18,4.45,245.8,60.01,51.0
134,201709121631,125.749,303,30.25,4.09,244.9,60.0,50.0
135,201709121637,119.244,303,30.38,3.89,244.6,60.01,50.0
136,201709121642,112.168,304,30.51,3.72,243.1,60.02,49.0
137,201709121647,87.618,301,32.76,2.02,243.3,60.01,49.0
138,201709121652,52.233,313,32.86,1.29,243.1,60.0,47.0
139,201709121657,31.342,304,32.56,0.97,243.7,60.01,46.0
140,201709121702,28.419,303,32.37,0.94,243.1,59.99,45.0
