,date_time,power,power_unknown,DCV,DCA,ACV,ACHZ,TMPI
0,201709120641,0.013,239,12.32,0.1,242.2,60.01,10.0
1,201709120641,0.0,6,12.32,0.11,242.1,60.02,10.0
2,201709120648,0.67,460,31.44,0.12,241.8,59.97,11.0
3,201709120649,2.385,65,31.54,0.12,241.7,59.97,11.0
4,201709120650,2.654,52,31.5,0.12,241.6,59.99,11.0
5,201709120651,2.849,53,31.41,0.13,241.2,59.99,11.0
6,201709120652,3.0,46,31.44,0.13,241.5,59.99,11.0
7,201709120653,3.17,53,31.33,0.13,241.2,59.99,11.0
8,201709120654,3.423,52,31.19,0.14,241.6,59.98,11.0
9,201709120655,3.745,47,31.19,0.14,241.4,59.99,11.0
10,201709120655,3.906,53,31.14,0.15,241.3,60.01,11.0
11,201709120700,4.741,301,31.0,0.2,244.2,59.99,11.0
12,201709120705,5.993,300,31.24,0.24,244.5,59.99,11.0
13,201709120710,7.089,305,31.27,0.26,245.5,59.99,11.0
14,201709120716,8.479,303,31.57,0.32,243.4,59.98,11.0
15,201709120721,9.844,301,31.65,0.34,242.8,60.02,12.0
16,201709120726,10.938,304,31.77,0.39,242.7,60.02,12.0
17,201709120731,11.967,303,31.86,0.43,242.7,59.99,12.0
18,201709120736,13.973,300,32.1,0.5,242.3,59.99,12.0
19,201709120741,14.655,304,32.16,0.52,242.3,60.0,12.0
20,201709120746,17.86,301,32.31,0.62,242.7,60.0,12.0
21,201709120752,19.465,346,32.47,0.65,243.0,60.03,13.0
22,201709120757,20.449,301,32.47,0.7,242.4,60.02,13.0
23,201709120802,22.38,300,32.67,0.79,241.6,59.99,13.0
24,201709120807,25.502,305,32.64,0.82,243.0,59.99,13.0
25,201709120812,25.394,302,32.64,0.82,242.8,59.99,14.0
26,201709120823,30.091,694,32.64,1.07,243.4,59.98,14.0
27,201709120826,33.26,146,32.64,1.11,243.4,59.99,15.0
28,201709120826,34.796,49,32.92,1.14,243.8,60.0,14.0
29,201709120827,35.709,55,32.9,1.16,242.9,60.02,14.0
30,201709120828,35.731,52,32.89,1.16,243.4,60.01,14.0
31,201709120829,35.489,47,32.92,1.17,242.0,60.0,15.0
32,201709120830,36.451,51,32.9,1.19,242.9,60.02,15.0
33,201709120831,37.667,54,32.9,1.22,243.7,60.0,15.0
34,201709120832,38.553,47,32.91,1.24,242.8,59.99,15.0
35,201709120836,39.432,257,32.86,1.32,245.0,60.01,15.0
36,201709120841,41.977,304,33.1,1.45,244.7,60.01,15.0
37,201709120846,48.711,301,33.41,1.6,244.2,60.01,16.0
38,201709120851,53.57,302,33.46,1.84,244.9,60.01,16.0
39,201709120856,60.197,304,33.44,1.97,244.6,60.02,17.0
40,201709120901,61.457,302,33.35,1.91,244.8,59.99,17.0
41,201709120906,57.721,301,33.3,1.85,244.6,60.02,18.0
42,201709120911,57.734,304,33.31,1.84,243.8,60.01,18.0
43,201709120928,73.721,985,33.77,3.01,246.0,59.99,20.0
44,201709120930,109.106,142,33.69,2.88,246.1,59.99,20.0
45,201709120931,88.106,47,33.54,2.52,245.6,59.98,20.0
46,201709120932,80.404,52,33.5,2.47,245.3,59.99,20.0
47,201709120932,78.588,51,33.5,2.46,244.8,59.98,20.0
48,201709120933,84.458,48,33.69,2.69,245.1,59.99,20.0
49,201709120934,91.096,52,33.61,2.74,245.1,59.99,20.0
50,201709120935,90.824,51,33.67,2.91,245.5,59.99,20.0
51,201709120936,114.915,47,33.82,3.62,246.0,59.97,21.0
52,201709120940,123.039,257,34.23,5.09,247.5,59.99,21.0
53,201709120945,125.283,304,33.59,5.21,247.3,60.0,22.0
54,201709120950,155.405,301,33.17,5.22,247.6,59.97,23.0
55,201709120955,168.354,302,32.7,5.37,247.7,59.98,24.0
56,201709121000,170.803,304,32.38,5.53,248.4,59.99,25.0
57,201709121005,174.179,302,32.08,5.67,248.9,60.02,26.0
58,201709121010,176.55,302,31.83,5.8,249.3,60.01,27.0
59,201709121015,180.523,304,31.74,5.98,249.3,60.01,29.0
60,201709121020,183.94,302,31.6,6.08,249.7,60.01,30.0
61,201709121025,187.252,301,31.43,6.27,248.9,60.0,31.0
62,201709121030,190.832,303,31.32,6.38,248.7,60.0,32.0
63,201709121035,194.352,301,31.28,6.52,248.3,60.0,33.0
64,201709121040,197.95,303,31.19,6.67,248.7,60.01,34.0
65,201709121046,201.462,303,31.01,6.82,249.5,59.99,36.0
66,201709121051,204.191,304,30.95,6.94,249.2,60.01,37.0
67,201709121056,207.88,299,30.84,7.06,247.3,60.0,38.0
68,201709121101,209.842,304,30.77,7.14,248.0,60.0,38.0
69,201709121106,211.195,302,30.64,7.21,248.1,59.98,39.0
70,201709121111,212.752,302,30.59,7.31,247.7,59.97,40.0
71,201709121116,215.737,304,30.49,7.45,247.5,60.01,41.0
72,201709121121,219.44,302,30.37,7.57,247.6,60.0,42.0
73,201709121126,221.958,336,30.33,7.7,247.3,60.01,43.0
74,201709121131,223.176,267,30.22,7.76,248.3,60.01,43.0
75,201709121136,225.323,303,30.19,7.84,248.1,60.02,44.0
76,201709121141,226.092,304,30.16,7.9,248.7,59.98,45.0
77,201709121146,229.353,300,30.01,8.03,248.1,60.0,46.0
78,201709121151,230.878,304,29.87,8.14,248.6,60.01,47.0
79,201709121156,229.993,304,29.86,8.17,248.1,60.03,47.0
80,201709121201,234.627,300,29.75,8.27,248.2,60.01,48.0
81,201709121206,234.835,303,29.64,8.34,248.9,60.0,49.0
82,201709121211,236.78,304,29.48,8.43,248.6,60.01,50.0
83,201709121215,236.035,255,29.38,8.46,248.1,60.02,50.0
84,201709121221,238.383,303,29.38,8.49,248.4,59.99,51.0
85,201709121226,238.864,302,29.26,8.53,248.6,60.01,52.0
86,201709121231,237.987,302,29.16,8.52,250.0,60.01,53.0
87,201709121236,236.264,303,29.19,8.56,248.8,59.99,54.0
88,201709121241,238.686,303,29.14,8.55,248.7,59.99,55.0
89,201709121246,240.291,302,29.13,8.7,248.6,59.98,55.0
90,201709121251,241.768,302,29.02,8.72,248.9,60.0,56.0
91,201709121256,241.997,303,29.07,8.67,248.9,59.98,56.0
92,201709121301,240.917,302,29.15,8.68,248.8,59.99,56.0
93,201709121306,240.901,303,29.14,8.67,248.8,59.98,57.0
94,201709121311,240.477,302,29.12,8.68,249.2,59.99,57.0
95,201709121316,241.238,302,29.18,8.66,249.1,59.99,57.0
96,201709121321,242.755,323,29.17,8.72,249.7,60.0,57.0
97,201709121326,240.908,282,29.1,8.65,248.9,60.0,58.0
98,201709121331,240.229,301,29.21,8.59,249.5,60.0,58.0
99,201709121336,238.757,305,29.25,8.61,249.4,60.01,58.0
100,201709121341,239.698,301,29.28,8.55,249.3,59.97,58.0
101,201709121346,240.063,303,29.36,8.61,249.1,59.99,57.0
102,201709121351,238.769,303,29.35,8.47,249.9,60.03,57.0
103,201709121356,237.468,301,29.36,8.47,248.9,60.01,57.0
104,201709121401,236.723,303,29.31,8.43,248.9,60.03,57.0
105,201709121406,234.842,303,29.37,8.4,249.2,60.01,57.0
106,201709121411,233.871,303,29.38,8.29,249.1,60.0,57.0
107,201709121416,231.532,301,29.42,8.16,249.0,60.0,56.0
108,201709121422,229.885,305,29.42,8.16,248.5,60.0,56.0
109,201709121427,226.603,300,29.42,8.07,248.2,60.01,56.0
110,201709121432,224.434,302,29.37,7.94,248.1,59.98,57.0
111,201709121437,222.723,303,29.5,7.89,248.7,59.98,56.0
112,201709121442,221.753,304,29.57,7.85,247.5,60.0,56.0
113,201709121447,220.346,301,29.48,7.78,247.2,60.0,56.0
114,201709121451,218.438,258,29.53,7.69,246.8,60.0,56.0
115,201709121456,216.117,300,29.56,7.59,247.8,60.0,56.0
116,201709121501,210.441,304,29.63,7.4,247.5,60.0,55.0
117,201709121506,205.066,303,29.68,7.33,246.8,59.98,55.0
118,201709121511,202.575,301,29.78,7.17,247.5,60.0,55.0
119,201709121516,192.554,303,29.89,6.5,247.0,59.99,55.0
120,201709121521,186.366,314,30.03,6.63,246.6,60.0,54.0
121,201709121526,192.027,291,30.1,6.52,246.8,59.98,54.0
122,201709121531,183.116,303,30.19,6.62,248.3,60.0,53.0
123,201709121536,189.508,303,30.18,6.13,247.6,60.0,53.0
124,201709121541,182.777,300,30.2,6.43,247.4,60.0,52.0
125,201709121546,183.707,304,30.24,6.29,247.2,60.01,52.0
126,201709121551,176.822,303,30.32,5.91,247.5,60.02,51.0
127,201709121557,172.07,301,30.32,5.89,247.0,60.02,51.0
128,201709121602,166.237,304,30.37,5.53,246.9,60.03,51.0
129,201709121607,157.937,302,30.36,5.22,245.4,60.0,51.0
130,201709121612,149.784,301,30.37,4.86,245.9,59.99,50.0
131,201709121617,144.868,304,30.49,4.88,245.7,60.01,50.0
132,201709121622,141.812,303,30.54,4.71,245.6,60.02,50.0
133,201709121627,135.247,300,30.63,4.52,245.4,60.0,50.0
134,201709121632,127.802,303,30.73,4.15,245.0,59.98,49.0
135,201709121637,121.914,303,30.8,3.93,244.2,60.0,49.0
136,201709121642,115.056,303,30.92,3.82,243.7,60.01,48.0
137,201709121647,110.129,302,30.92,3.29,243.1,60.02,48.0
138,201709121652,96.342,313,31.85,2.92,243.7,60.0,47.0
139,201709121657,51.082,304,32.92,1.14,243.9,60.02,46.0
140,201709121702,33.802,303,31.94,1.14,243.1,60.0,44.0
141,201709121707,36.087,299,32.29,1.14,242.7,59.99,43.0
142,201709121712,31.8,305,32.02,1.1,242.8,59.99,43.0
143,201709121717,34.056,302,31.72,1.17,243.5,59.97,42.0
144,201709121723,32.306,346,32.24,1.05,243.6,60.0,41.0
145,201709121727,33.583,211,32.34,1.15,243.0,60.0,40.0
146,201709121732,35.516,304,32.96,1.14,243.5,59.99,39.0
147,201709121737,30.498,301,33.92,0.74,244.2,59.99,38.0
148,201709121742,21.194,304,32.9,0.64,243.8,59.99,38.0
149,201709121747,18.149,302,31.69,0.6,243.3,60.0,37.0
150,201709121752,17.169,301,30.48,0.56,243.2,60.0,36.0
151,201709121757,16.221,303,30.57,0.58,243.7,60.02,35.0
152,201709121802,15.401,304,30.55,0.52,242.7,60.01,34.0
153,201709121807,13.704,301,30.48,0.48,243.9,59.99,33.0
154,201709121812,12.54,302,30.48,0.43,243.2,60.0,32.0
155,201709121817,10.345,304,30.12,0.32,242.8,59.99,32.0
156,201709121822,8.443,300,30.16,0.32,243.5,60.0,31.0
157,201709121827,8.063,304,30.15,0.3,242.9,59.99,30.0
158,201709121832,7.426,303,30.11,0.27,242.8,59.98,29.0
159,201709121837,6.755,302,30.02,0.25,242.0,60.0,29.0
